Date,Cash,Cash.1,Spot,Spot.1
2025-01-03 00:00:00,32.5150,33.1850,32.8650,32.9650
2025-01-02 00:00:00,32.4800,33.1500,32.8300,32.9300
2025-01-06 00:00:00,32.4650,33.1350,32.8150,32.9150
2025-01-07 00:00:00,32.3350,33.0050,32.6850,32.7850
2025-01-08 00:00:00,32.4900,33.1600,32.8400,32.9400
2025-01-09 00:00:00,32.5500,33.2200,32.9000,33.0000
2025-01-10 00:00:00,32.5650,33.2350,32.9150,33.0150
2025-01-13 00:00:00,32.7200,33.3900,33.0700,33.1700
2025-01-14 00:00:00,32.5700,33.2400,32.9200,33.0200
2025-01-15 00:00:00,32.6650,33.3350,33.0150,33.1150
2025-01-16 00:00:00,32.5300,33.2000,32.8800,32.9800
2025-01-17 00:00:00,32.5300,33.2000,32.8800,32.9800
2025-01-20 00:00:00,32.4050,33.0750,32.7550,32.8550
2025-01-21 00:00:00,32.3800,33.0500,32.7300,32.8300
2025-01-22 00:00:00,32.3750,33.0450,32.7250,32.8250
2025-01-23 00:00:00,32.3700,33.0400,32.7200,32.8200
2025-01-24 00:00:00,32.2850,32.9550,32.6350,32.7350
2025-02-03 00:00:00,32.5700,33.2400,32.9200,33.0200
2025-02-04 00:00:00,32.5850,33.2550,32.9350,33.0350
2025-02-05 00:00:00,32.4500,33.1200,32.8000,32.9000
2025-02-06 00:00:00,32.4300,33.1000,32.7800,32.8800
2025-02-07 00:00:00,32.3550,33.0250,32.7050,32.8050
2025-02-08 00:00:00,32.3900,33.0600,32.7400,32.8400
2025-02-10 00:00:00,32.4450,33.1150,32.7950,32.8950
2025-02-11 00:00:00,32.4450,33.1150,32.7950,32.8950
2025-02-12 00:00:00,32.4600,33.1300,32.8100,32.9100
2025-02-13 00:00:00,32.4100,33.0800,32.7600,32.8600
2025-02-14 00:00:00,32.3850,33.0550,32.7350,32.8350
2025-02-17 00:00:00,32.3050,32.9750,32.6550,32.7550
2025-02-18 00:00:00,32.3700,33.0400,32.7200,32.8200
2025-02-19 00:00:00,32.3500,33.0200,32.7000,32.8000
2025-02-20 00:00:00,32.3950,33.0650,32.7450,32.8450
2025-02-21 00:00:00,32.3500,33.0200,32.7000,32.8000
2025-02-24 00:00:00,32.3150,32.9850,32.6650,32.7650
2025-02-25 00:00:00,32.4050,33.0750,32.7550,32.8550
2025-02-26 00:00:00,32.3950,33.0650,32.7450,32.8450
2025-02-27 00:00:00,32.4200,33.0900,32.7700,32.8700
2025-03-03 00:00:00,32.5250,33.1950,32.8750,32.9750
2025-03-04 00:00:00,32.5150,33.1850,32.8650,32.9650
2025-03-05 00:00:00,32.4250,33.0950,32.7750,32.8750
2025-03-06 00:00:00,32.4550,33.1250,32.8050,32.9050
2025-03-07 00:00:00,32.4400,33.1100,32.7900,32.8900
2025-03-10 00:00:00,32.5200,33.1900,32.8700,32.9700
2025-03-11 00:00:00,32.4900,33.1600,32.8400,32.9400
2025-03-12 00:00:00,32.5600,33.2300,32.9100,33.0100
2025-03-13 00:00:00,32.5700,33.2400,32.9200,33.0200
2025-03-14 00:00:00,32.5600,33.2300,32.9100,33.0100
2025-03-17 00:00:00,32.6150,33.2850,32.9650,33.0650
2025-03-18 00:00:00,32.6000,33.2700,32.9500,33.0500
2025-03-19 00:00:00,32.6450,33.3150,32.9950,33.0950
2025-03-20 00:00:00,32.6100,33.2800,32.9600,33.0600
2025-03-21 00:00:00,32.6000,33.2700,32.9500,33.0500
2025-03-24 00:00:00,32.6350,33.3050,32.9850,33.0850
2025-03-25 00:00:00,32.6800,33.3500,33.0300,33.1300
2025-03-26 00:00:00,32.6950,33.3650,33.0450,33.1450
2025-03-27 00:00:00,32.7100,33.3800,33.0600,33.1600
2025-03-28 00:00:00,32.7000,33.3700,33.0500,33.1500
2025-03-31 00:00:00,32.8050,33.4750,33.1550,33.2550
2025-04-01 00:00:00,32.8000,33.4700,33.1500,33.2500
2025-04-02 00:00:00,32.6900,33.3600,33.0400,33.1400
2025-04-04 00:00:00,33.0100,33.1600,33.0170,33.1230
2025-04-07 00:00:00,33.0700,33.1700,33.0420,33.1520
2025-04-08 00:00:00,32.9500,33.0500,32.9230,33.0310
2025-04-09 00:00:00,33.0200,33.1200,32.9940,33.1030
2025-04-10 00:00:00,32.8350,32.9350,32.8120,32.9190
2025-04-11 00:00:00,32.7500,32.8500,32.7260,32.8340
2025-04-14 00:00:00,32.4600,32.5600,32.4360,32.5440
2025-04-15 00:00:00,32.4100,32.5100,32.3870,32.4930
2025-04-16 00:00:00,32.4650,32.5650,32.4420,32.5480
2025-04-17 00:00:00,32.4800,32.5800,32.4570,32.5630
2025-04-18 00:00:00,32.5550,32.6550,32.5300,32.6370
2025-04-21 00:00:00,32.4400,32.5400,32.4150,32.5220
2025-04-22 00:00:00,32.4450,32.5450,32.4170,32.5250
2025-04-23 00:00:00,32.4500,32.5500,32.4260,32.5320
2025-04-24 00:00:00,32.4700,32.5700,32.4460,32.5520
2025-04-25 00:00:00,32.4350,32.5350,32.4110,32.5170
2025-04-28 00:00:00,32.4350,32.5350,32.4110,32.5170
2025-04-29 00:00:00,32.2300,32.3300,32.2070,32.3130
2025-04-30 00:00:00,31.9900,32.0900,31.9670,32.0740
2025-05-01 00:00:00,31.9050,32.0550,31.9170,32.0240
2025-05-02 00:00:00,31.1700,31.2700,31.1460,31.2530
2025-05-05 00:00:00,29.8850,29.9850,29.8610,29.9690
2025-05-06 00:00:00,30.1300,30.2300,30.1070,30.2150
2025-05-07 00:00:00,30.1900,30.2900,30.1670,30.2750
2025-05-08 00:00:00,30.2100,30.3100,30.1870,30.2940
2025-05-09 00:00:00,30.2600,30.3600,30.2380,30.3440
2025-05-12 00:00:00,30.2000,30.3000,30.1780,30.2840
2025-05-13 00:00:00,30.3500,30.4500,30.3280,30.4350
2025-05-14 00:00:00,30.2350,30.3350,30.2120,30.3190
2025-05-15 00:00:00,30.1100,30.2100,30.0850,30.1920
2025-05-16 00:00:00,30.0850,30.1850,30.0630,30.1700
2025-05-19 00:00:00,30.1550,30.2550,30.1330,30.2400
2025-05-20 00:00:00,30.1300,30.2300,30.1080,30.2140
2025-05-21 00:00:00,30.0950,30.1950,30.0640,30.1720
2025-05-22 00:00:00,29.9650,30.0650,29.9430,30.0500
2025-05-23 00:00:00,29.9550,30.0550,29.9340,30.0390
2025-05-26 00:00:00,29.8200,29.9200,29.7980,29.9040
2025-05-27 00:00:00,29.8250,29.9250,29.8040,29.9100
2025-05-28 00:00:00,29.8800,29.9800,29.8580,29.9650
2025-05-29 00:00:00,29.9400,30.0400,29.9170,30.0240
2025-05-30 00:00:00,29.8250,29.9750,29.8320,29.9390
2025-06-02 00:00:00,29.9500,30.0500,29.9290,30.0350
2025-06-03 00:00:00,29.9400,30.0400,29.9190,30.0250
2025-06-04 00:00:00,29.9400,30.0400,29.9190,30.0250
2025-06-05 00:00:00,29.8600,29.9600,29.8400,29.9450
