Date,Buying,Selling
2024-01-02 12:00:00,4.221,4.383
2024-01-03 12:00:00,4.233,4.395
2024-01-04 12:00:00,4.223,4.385
2024-01-05 12:00:00,4.232,4.394
2024-01-08 12:00:00,4.23,4.392
2024-01-09 12:00:00,4.222,4.384
2024-01-10 12:00:00,4.237,4.399
2024-01-11 12:00:00,4.242,4.404
2024-01-12 12:00:00,4.234,4.396
2024-01-15 12:00:00,4.25,4.412
2024-01-16 12:00:00,4.253,4.415
2024-01-17 12:00:00,4.279,4.441
2024-01-18 12:00:00,4.28,4.442
2024-01-19 12:00:00,4.269,4.431
2024-01-22 12:00:00,4.26,4.422
2024-01-23 12:00:00,4.275,4.437
2024-01-24 12:00:00,4.28,4.442
2024-01-25 12:00:00,4.265,4.427
2024-01-26 12:00:00,4.258,4.42
2024-01-29 12:00:00,4.252,4.414
2024-01-30 12:00:00,4.236,4.398
2024-01-31 12:00:00,4.259,4.421
2024-02-01 12:00:00,4.263,4.425
2024-02-02 12:00:00,4.231,4.393
2024-02-05 12:00:00,4.249,4.411
2024-02-06 12:00:00,4.255,4.417
2024-02-07 12:00:00,4.245,4.407
2024-02-15 12:00:00,4.259,4.421
2024-02-16 12:00:00,4.253,4.415
2024-02-17 12:00:00,4.256,4.418
2024-02-19 12:00:00,4.259,4.421
2024-02-20 12:00:00,4.278,4.44
2024-02-21 12:00:00,4.283,4.445
2024-02-22 12:00:00,4.278,4.44
2024-02-23 12:00:00,4.283,4.445
2024-02-26 12:00:00,4.279,4.441
2024-02-27 12:00:00,4.28,4.442
2024-02-29 12:00:00,4.286,4.448
2024-03-01 12:00:00,4.289,4.451
2024-03-04 12:00:00,4.277,4.439
2024-03-05 12:00:00,4.281,4.443
2024-03-06 12:00:00,4.284,4.446
2024-03-07 12:00:00,4.285,4.447
2024-03-08 12:00:00,4.268,4.43
2024-03-11 12:00:00,4.28,4.442
2024-03-12 12:00:00,4.275,4.437
2024-03-13 12:00:00,4.278,4.44
2024-03-14 12:00:00,4.278,4.44
2024-03-15 12:00:00,4.29,4.452
2024-03-18 12:00:00,4.298,4.46
2024-03-19 12:00:00,4.311,4.473
2024-03-20 12:00:00,4.326,4.488
2024-03-21 12:00:00,4.313,4.475
2024-03-22 12:00:00,4.297,4.459
2024-03-25 12:00:00,4.298,4.46
2024-03-26 12:00:00,4.305,4.467
2024-03-27 12:00:00,4.314,4.476
2024-03-28 12:00:00,4.31,4.472
2024-03-29 12:00:00,4.316,4.478
2024-04-01 12:00:00,4.31,4.472
2024-04-02 12:00:00,4.325,4.487
2024-04-03 12:00:00,4.325,4.487
2024-04-08 12:00:00,4.336,4.498
2024-04-09 12:00:00,4.34,4.502
2024-04-10 12:00:00,4.312,4.474
2024-04-11 12:00:00,4.347,4.509
2024-04-12 12:00:00,4.35,4.512
2024-04-15 12:00:00,4.365,4.527
2024-04-16 12:00:00,4.378,4.54
2024-04-17 12:00:00,4.39,4.552
2024-04-18 12:00:00,4.37,4.532
2024-04-19 12:00:00,4.389,4.551
2024-04-22 12:00:00,4.406,4.568
2024-04-23 12:00:00,4.393,4.555
2024-04-24 12:00:00,4.378,4.54
2024-04-25 12:00:00,4.394,4.556
2024-04-26 12:00:00,4.385,4.547
2024-04-29 12:00:00,4.4,4.562
2024-04-30 12:00:00,4.402,4.564
2024-05-02 12:00:00,4.416,4.578
2024-05-03 12:00:00,4.405,4.567
2024-05-06 12:00:00,4.389,4.551
2024-05-07 12:00:00,4.385,4.547
2024-05-08 12:00:00,4.388,4.55
2024-05-09 12:00:00,4.399,4.561
2024-05-10 12:00:00,4.385,4.547
2024-05-13 12:00:00,4.382,4.544
2024-05-14 12:00:00,4.38,4.542
2024-05-15 12:00:00,4.383,4.545
2024-05-16 12:00:00,4.348,4.51
2024-05-17 12:00:00,4.358,4.52
2024-05-20 12:00:00,4.353,4.515
2024-05-21 12:00:00,4.36,4.522
2024-05-22 12:00:00,4.354,4.516
2024-05-23 12:00:00,4.347,4.509
2024-05-24 12:00:00,4.348,4.51
2024-05-27 12:00:00,4.338,4.5
2024-05-28 12:00:00,4.333,4.495
2024-05-29 12:00:00,4.345,4.507
2024-05-30 12:00:00,4.378,4.54
2024-05-31 12:00:00,4.367,4.529
2024-06-03 12:00:00,4.372,4.534
2024-06-04 12:00:00,4.374,4.536
2024-06-05 12:00:00,4.36,4.522
2024-06-06 12:00:00,4.35,4.512
2024-06-07 12:00:00,4.343,4.505
2024-06-11 12:00:00,4.359,4.521
2024-06-12 12:00:00,4.363,4.525
2024-06-13 12:00:00,4.352,4.514
2024-06-14 12:00:00,4.353,4.515
2024-06-17 12:00:00,4.359,4.521
2024-06-18 12:00:00,4.36,4.522
2024-06-19 12:00:00,4.348,4.51
2024-06-20 12:00:00,4.339,4.501
2024-06-21 12:00:00,4.344,4.506
2024-06-24 12:00:00,4.351,4.513
2024-06-25 12:00:00,4.356,4.518
2024-06-26 12:00:00,4.363,4.525
2024-06-27 12:00:00,4.359,4.521
2024-06-28 12:00:00,4.353,4.515
2024-07-01 12:00:00,4.36,4.522
2024-07-02 12:00:00,4.369,4.531
2024-07-03 12:00:00,4.373,4.535
2024-07-04 12:00:00,4.358,4.52
2024-07-05 12:00:00,4.358,4.52
2024-07-08 12:00:00,4.365,4.527
2024-07-09 12:00:00,4.371,4.533
2024-07-10 12:00:00,4.374,4.536
2024-07-11 12:00:00,4.38,4.542
2024-07-12 12:00:00,4.375,4.537
2024-07-15 12:00:00,4.383,4.545
2024-07-16 12:00:00,4.382,4.544
2024-07-17 12:00:00,4.392,4.554
2024-07-18 12:00:00,4.385,4.547
2024-07-19 12:00:00,4.4,4.562
2024-07-22 12:00:00,4.408,4.57
2024-07-23 12:00:00,4.409,4.571
2024-07-24 12:00:00,4.423,4.585
2024-07-25 12:00:00,4.438,4.6
2024-07-26 12:00:00,4.426,4.588
2024-07-29 12:00:00,4.425,4.587
2024-07-30 12:00:00,4.44,4.602
2024-07-31 12:00:00,4.449,4.611
2024-08-01 12:00:00,4.429,4.591
2024-08-02 12:00:00,4.495,4.657
2024-08-05 12:00:00,4.473,4.635
2024-08-06 12:00:00,4.47,4.632
2024-08-07 12:00:00,4.467,4.629
2024-08-08 12:00:00,4.438,4.6
2024-08-09 12:00:00,4.424,4.586
2024-08-12 12:00:00,4.426,4.588
2024-08-13 12:00:00,4.447,4.609
2024-08-14 12:00:00,4.424,4.586
2024-08-15 12:00:00,4.4,4.562
2024-08-16 12:00:00,4.411,4.573
2024-08-19 12:00:00,4.395,4.557
2024-08-20 12:00:00,4.398,4.56
2024-08-21 12:00:00,4.383,4.545
2024-08-22 12:00:00,4.378,4.54
2024-08-23 12:00:00,4.396,4.558
2024-08-26 12:00:00,4.371,4.533
2024-08-27 12:00:00,4.389,4.551
2024-08-28 12:00:00,4.385,4.547
2024-08-29 12:00:00,4.405,4.567
2024-08-30 12:00:00,4.404,4.566
2024-09-02 12:00:00,4.406,4.568
2024-09-03 12:00:00,4.41,4.572
2024-09-04 12:00:00,4.432,4.594
2024-09-05 12:00:00,4.428,4.59
2024-09-06 12:00:00,4.401,4.563
2024-09-09 12:00:00,4.412,4.574
2024-09-10 12:00:00,4.415,4.577
2024-09-11 12:00:00,4.412,4.574
2024-09-12 12:00:00,4.419,4.581
2024-09-13 12:00:00,4.411,4.573
2024-09-16 12:00:00,4.392,4.554
2024-09-18 12:00:00,4.407,4.569
2024-09-19 12:00:00,4.42,4.582
2024-09-20 12:00:00,4.443,4.605
2024-09-23 12:00:00,4.441,4.603
2024-09-24 12:00:00,4.467,4.629
2024-09-25 12:00:00,4.433,4.595
2024-09-26 12:00:00,4.471,4.633
2024-09-27 12:00:00,4.443,4.605
2024-09-30 12:00:00,4.421,4.583
2024-10-01 12:00:00,4.434,4.596
2024-10-02 12:00:00,4.429,4.591
2024-10-03 12:00:00,4.421,4.583
2024-10-04 12:00:00,4.407,4.569
2024-10-07 12:00:00,4.449,4.611
2024-10-08 12:00:00,4.461,4.623
2024-10-09 12:00:00,4.448,4.61
2024-10-11 12:00:00,4.445,4.607
2024-10-14 12:00:00,4.441,4.603
2024-10-15 12:00:00,4.412,4.574
2024-10-16 12:00:00,4.416,4.578
2024-10-17 12:00:00,4.412,4.574
2024-10-18 12:00:00,4.41,4.572
2024-10-21 12:00:00,4.384,4.546
2024-10-22 12:00:00,4.398,4.56
2024-10-23 12:00:00,4.401,4.563
2024-10-24 12:00:00,4.408,4.57
2024-10-25 12:00:00,4.392,4.554
2024-10-28 12:00:00,4.397,4.559
2024-10-29 12:00:00,4.398,4.56
2024-10-30 12:00:00,4.401,4.563
2024-10-31 12:00:00,4.403,4.565
2024-11-01 12:00:00,4.4,4.562
2024-11-04 12:00:00,4.399,4.561
2024-11-05 12:00:00,4.413,4.575
2024-11-06 12:00:00,4.373,4.535
2024-11-07 12:00:00,4.414,4.576
2024-11-08 12:00:00,4.366,4.528
2024-11-11 12:00:00,4.367,4.529
2024-11-12 12:00:00,4.383,4.545
2024-11-13 12:00:00,4.386,4.548
2024-11-14 12:00:00,4.394,4.556
2024-11-15 12:00:00,4.389,4.551
2024-11-18 12:00:00,4.406,4.568
2024-11-19 12:00:00,4.385,4.547
2024-11-20 12:00:00,4.386,4.548
2024-11-21 12:00:00,4.39,4.552
2024-11-22 12:00:00,4.403,4.565
2024-11-25 12:00:00,4.375,4.537
2024-11-26 12:00:00,4.384,4.546
2024-11-27 12:00:00,4.395,4.557
2024-11-28 12:00:00,4.391,4.553
2024-11-29 12:00:00,4.378,4.54
2024-12-02 12:00:00,4.379,4.541
2024-12-03 12:00:00,4.362,4.524
2024-12-04 12:00:00,4.36,4.522
2024-12-05 12:00:00,4.371,4.533
2024-12-06 12:00:00,4.355,4.517
2024-12-09 12:00:00,4.372,4.534
2024-12-10 12:00:00,4.375,4.537
2024-12-11 12:00:00,4.377,4.539
2024-12-12 12:00:00,4.369,4.531
2024-12-13 12:00:00,4.37,4.532
2024-12-16 12:00:00,4.359,4.521
2024-12-17 12:00:00,4.366,4.528
2024-12-18 12:00:00,4.34,4.502
2024-12-19 12:00:00,4.373,4.535
2024-12-20 12:00:00,4.389,4.551
2024-12-23 12:00:00,4.377,4.539
2024-12-24 12:00:00,4.377,4.539
2024-12-25 12:00:00,4.378,4.54
2024-12-26 12:00:00,4.382,4.544
2024-12-27 12:00:00,4.385,4.547
2024-12-30 12:00:00,4.377,4.539
2024-12-31 12:00:00,4.374,4.536
2025-01-02 12:00:00,4.384,4.546
2025-01-03 12:00:00,4.377,4.539
2025-01-06 12:00:00,4.378,4.54
2025-01-07 12:00:00,4.364,4.526
2025-01-08 12:00:00,4.377,4.539
2025-01-09 12:00:00,4.383,4.545
2025-01-10 12:00:00,4.383,4.545
2025-01-13 12:00:00,4.419,4.581
2025-01-14 12:00:00,4.393,4.555
2025-01-15 12:00:00,4.404,4.566
2025-01-16 12:00:00,4.387,4.549
2025-01-17 12:00:00,4.393,4.555
2025-01-20 12:00:00,4.422,4.584
2025-01-21 12:00:00,4.406,4.568
2025-01-22 12:00:00,4.405,4.567
2025-01-23 12:00:00,4.403,4.565
2025-01-24 12:00:00,4.346,4.508
2025-02-03 12:00:00,4.419,4.581
2025-02-04 12:00:00,4.43,4.592
2025-02-05 12:00:00,4.418,4.58
2025-02-06 12:00:00,4.41,4.572
2025-02-07 12:00:00,4.389,4.551
2025-02-08 12:00:00,4.388,4.55
2025-02-10 12:00:00,4.396,4.558
2025-02-11 12:00:00,4.398,4.56
2025-02-12 12:00:00,4.399,4.561
2025-02-13 12:00:00,4.413,4.575
2025-02-14 12:00:00,4.421,4.583
2025-02-17 12:00:00,4.405,4.567
2025-02-18 12:00:00,4.408,4.57
2025-02-19 12:00:00,4.403,4.565
2025-02-20 12:00:00,4.436,4.598
2025-02-21 12:00:00,4.419,4.581
2025-02-24 12:00:00,4.414,4.576
2025-02-25 12:00:00,4.427,4.589
2025-02-26 12:00:00,4.42,4.582
2025-02-27 12:00:00,4.406,4.568
2025-03-03 12:00:00,4.412,4.574
2025-03-04 12:00:00,4.442,4.604
2025-03-05 12:00:00,4.44,4.602
2025-03-06 12:00:00,4.439,4.601
2025-03-07 12:00:00,4.44,4.602
2025-03-10 12:00:00,4.439,4.601
2025-03-11 12:00:00,4.455,4.617
2025-03-12 12:00:00,4.456,4.618
2025-03-13 12:00:00,4.453,4.615
2025-03-14 12:00:00,4.461,4.623
2025-03-17 12:00:00,4.473,4.635
2025-03-18 12:00:00,4.47,4.632
2025-03-19 12:00:00,4.475,4.637
2025-03-20 12:00:00,4.456,4.618
2025-03-21 12:00:00,4.455,4.617
2025-03-24 12:00:00,4.452,4.614
2025-03-25 12:00:00,4.457,4.619
2025-03-26 12:00:00,4.453,4.615
2025-03-27 12:00:00,4.461,4.623
2025-03-28 12:00:00,4.455,4.617
2025-03-31 12:00:00,4.474,4.636
2025-04-01 12:00:00,4.465,4.627
2025-04-02 12:00:00,4.439,4.601
2025-04-07 12:00:00,4.404,4.566
2025-04-08 12:00:00,4.363,4.525
2025-04-09 12:00:00,4.387,4.549
2025-04-10 12:00:00,4.399,4.561
2025-04-11 12:00:00,4.39,4.552
2025-04-14 12:00:00,4.347,4.509
2025-04-15 12:00:00,4.342,4.504
2025-04-16 12:00:00,4.359,4.521
2025-04-17 12:00:00,4.359,4.521
2025-04-18 12:00:00,4.372,4.534
2025-04-21 12:00:00,4.353,4.515
2025-04-22 12:00:00,4.359,4.521
2025-04-23 12:00:00,4.362,4.524
2025-04-24 12:00:00,4.367,4.529
2025-04-25 12:00:00,4.363,4.525
2025-04-28 12:00:00,4.361,4.523
2025-04-29 12:00:00,4.335,4.497
2025-04-30 12:00:00,4.299,4.461
2025-05-02 12:00:00,4.177,4.339
2025-05-05 12:00:00,4.09,4.252
2025-05-06 12:00:00,4.113,4.275
2025-05-07 12:00:00,4.093,4.255
2025-05-08 12:00:00,4.084,4.246
2025-05-09 12:00:00,4.097,4.259
2025-05-12 12:00:00,4.116,4.278
2025-05-13 12:00:00,4.137,4.299
2025-05-14 12:00:00,4.104,4.266
2025-05-15 12:00:00,4.093,4.255
2025-05-16 12:00:00,4.089,4.251
2025-05-19 12:00:00,4.088,4.25
2025-05-20 12:00:00,4.086,4.248
2025-05-21 12:00:00,4.092,4.254
2025-05-22 12:00:00,4.073,4.235
2025-05-23 12:00:00,4.085,4.247
2025-05-26 12:00:00,4.07,4.232
2025-05-27 12:00:00,4.067,4.229
2025-05-28 12:00:00,4.056,4.218
2025-05-29 12:00:00,4.055,4.217
2025-06-02 12:00:00,4.063,4.225
2025-06-03 12:00:00,4.075,4.237
2025-06-04 12:00:00,4.079,4.241
2025-06-05 12:00:00,4.074,4.236
2025-06-06 12:00:00,4.066,4.228
2025-06-09 12:00:00,4.073,4.235
2025-06-10 12:00:00,4.074,4.236
2025-06-11 12:00:00,4.058,4.22
2025-06-12 12:00:00,4.038,4.2
2025-06-13 12:00:00,4.029,4.191
2025-06-16 12:00:00,4.012,4.174
2025-06-17 12:00:00,4.008,4.17
2025-06-18 12:00:00,4.009,4.171
2025-06-19 12:00:00,4.027,4.189
2025-06-20 12:00:00,4.015,4.177
2025-06-23 12:00:00,4.046,4.208
2025-06-24 12:00:00,4.025,4.187
2025-06-25 12:00:00,4.002,4.164
2025-06-26 12:00:00,3.973,4.135
2025-06-27 12:00:00,3.971,4.133
2025-06-30 12:00:00,3.996,4.158
2025-07-01 12:00:00,3.976,4.138
2025-07-02 12:00:00,3.954,4.116
2025-07-03 12:00:00,3.924,4.086
2025-07-04 12:00:00,3.943,4.105
2025-07-07 12:00:00,3.95,4.112
2025-07-08 12:00:00,3.95,4.112
2025-07-09 12:00:00,3.963,4.125
2025-07-10 12:00:00,3.977,4.139
2025-07-11 12:00:00,3.974,4.136
2025-07-14 12:00:00,3.989,4.151
2025-07-15 12:00:00,3.981,4.143
2025-07-16 12:00:00,4.002,4.164
2025-07-17 12:00:00,3.998,4.16
2025-07-18 12:00:00,3.999,4.161
2025-07-21 12:00:00,4.006,4.168
2025-07-22 12:00:00,4.009,4.171
2025-07-23 12:00:00,4.009,4.171
2025-07-24 12:00:00,4.014,4.176
2025-07-25 12:00:00,4.012,4.174
2025-07-28 12:00:00,4.015,4.177
2025-07-29 12:00:00,4.041,4.203
2025-07-30 12:00:00,4.024,4.186
2025-07-31 12:00:00,4.048,4.21
2025-08-01 12:00:00,4.079,4.241
2025-08-04 12:00:00,4.069,4.231
2025-08-05 16:01:00,4.063,4.225
2025-08-06 16:00:00,4.07,4.232
2025-08-13 16:00:00,4.074,4.236
2025-08-14 16:01:00,4.08,4.242
2025-08-15 16:01:00,4.075,4.237
2025-08-18 16:01:00,4.085,4.247
2025-08-19 16:01:00,4.093,4.255
2025-08-20 16:01:00,4.123,4.285
2025-08-21 16:01:00,4.15,4.312
2025-08-22 16:01:00,4.16,4.322
2025-08-25 16:01:00,4.159,4.321
2025-08-26 16:01:00,4.166,4.328
2025-08-27 16:01:00,4.172,4.334
