Date,Buying,Selling
2024-01-02 12:00:00,4.288,4.348
2024-01-03 12:00:00,4.3,4.36
2024-01-04 12:00:00,4.29,4.35
2024-01-05 12:00:00,4.299,4.359
2024-01-08 12:00:00,4.297,4.357
2024-01-09 12:00:00,4.289,4.349
2024-01-10 12:00:00,4.304,4.364
2024-01-11 12:00:00,4.309,4.369
2024-01-12 12:00:00,4.301,4.361
2024-01-15 12:00:00,4.317,4.377
2024-01-16 12:00:00,4.32,4.38
2024-01-17 12:00:00,4.346,4.406
2024-01-18 12:00:00,4.347,4.407
2024-01-19 12:00:00,4.336,4.396
2024-01-22 12:00:00,4.327,4.387
2024-01-23 12:00:00,4.342,4.402
2024-01-24 12:00:00,4.347,4.407
2024-01-25 12:00:00,4.332,4.392
2024-01-26 12:00:00,4.325,4.385
2024-01-29 12:00:00,4.319,4.379
2024-01-30 12:00:00,4.303,4.363
2024-01-31 12:00:00,4.326,4.386
2024-02-01 12:00:00,4.33,4.39
2024-02-02 12:00:00,4.298,4.358
2024-02-05 12:00:00,4.316,4.376
2024-02-06 12:00:00,4.322,4.382
2024-02-07 12:00:00,4.312,4.372
2024-02-15 12:00:00,4.326,4.386
2024-02-16 12:00:00,4.32,4.38
2024-02-17 12:00:00,4.323,4.383
2024-02-19 12:00:00,4.326,4.386
2024-02-20 12:00:00,4.345,4.405
2024-02-21 12:00:00,4.35,4.41
2024-02-22 12:00:00,4.345,4.405
2024-02-23 12:00:00,4.35,4.41
2024-02-26 12:00:00,4.346,4.406
2024-02-27 12:00:00,4.347,4.407
2024-02-29 12:00:00,4.353,4.413
2024-03-01 12:00:00,4.356,4.416
2024-03-04 12:00:00,4.344,4.404
2024-03-05 12:00:00,4.348,4.408
2024-03-06 12:00:00,4.351,4.411
2024-03-07 12:00:00,4.352,4.412
2024-03-08 12:00:00,4.335,4.395
2024-03-11 12:00:00,4.347,4.407
2024-03-12 12:00:00,4.342,4.402
2024-03-13 12:00:00,4.345,4.405
2024-03-14 12:00:00,4.345,4.405
2024-03-15 12:00:00,4.357,4.417
2024-03-18 12:00:00,4.365,4.425
2024-03-19 12:00:00,4.378,4.438
2024-03-20 12:00:00,4.393,4.453
2024-03-21 12:00:00,4.38,4.44
2024-03-22 12:00:00,4.364,4.424
2024-03-25 12:00:00,4.365,4.425
2024-03-26 12:00:00,4.372,4.432
2024-03-27 12:00:00,4.381,4.441
2024-03-28 12:00:00,4.377,4.437
2024-03-29 12:00:00,4.383,4.443
2024-04-01 12:00:00,4.377,4.437
2024-04-02 12:00:00,4.392,4.452
2024-04-03 12:00:00,4.392,4.452
2024-04-08 12:00:00,4.403,4.463
2024-04-09 12:00:00,4.407,4.467
2024-04-10 12:00:00,4.379,4.439
2024-04-11 12:00:00,4.414,4.474
2024-04-12 12:00:00,4.417,4.477
2024-04-15 12:00:00,4.432,4.492
2024-04-16 12:00:00,4.445,4.505
2024-04-17 12:00:00,4.457,4.517
2024-04-18 12:00:00,4.437,4.497
2024-04-19 12:00:00,4.456,4.516
2024-04-22 12:00:00,4.473,4.533
2024-04-23 12:00:00,4.46,4.52
2024-04-24 12:00:00,4.445,4.505
2024-04-25 12:00:00,4.461,4.521
2024-04-26 12:00:00,4.452,4.512
2024-04-29 12:00:00,4.467,4.527
2024-04-30 12:00:00,4.469,4.529
2024-05-02 12:00:00,4.483,4.543
2024-05-03 12:00:00,4.472,4.532
2024-05-06 12:00:00,4.456,4.516
2024-05-07 12:00:00,4.452,4.512
2024-05-08 12:00:00,4.455,4.515
2024-05-09 12:00:00,4.466,4.526
2024-05-10 12:00:00,4.452,4.512
2024-05-13 12:00:00,4.449,4.509
2024-05-14 12:00:00,4.447,4.507
2024-05-15 12:00:00,4.45,4.51
2024-05-16 12:00:00,4.415,4.475
2024-05-17 12:00:00,4.425,4.485
2024-05-20 12:00:00,4.42,4.48
2024-05-21 12:00:00,4.427,4.487
2024-05-22 12:00:00,4.421,4.481
2024-05-23 12:00:00,4.414,4.474
2024-05-24 12:00:00,4.415,4.475
2024-05-27 12:00:00,4.405,4.465
2024-05-28 12:00:00,4.4,4.46
2024-05-29 12:00:00,4.412,4.472
2024-05-30 12:00:00,4.445,4.505
2024-05-31 12:00:00,4.434,4.494
2024-06-03 12:00:00,4.439,4.499
2024-06-04 12:00:00,4.441,4.501
2024-06-05 12:00:00,4.427,4.487
2024-06-06 12:00:00,4.417,4.477
2024-06-07 12:00:00,4.41,4.47
2024-06-11 12:00:00,4.426,4.486
2024-06-12 12:00:00,4.43,4.49
2024-06-13 12:00:00,4.419,4.479
2024-06-14 12:00:00,4.42,4.48
2024-06-17 12:00:00,4.426,4.486
2024-06-18 12:00:00,4.427,4.487
2024-06-19 12:00:00,4.415,4.475
2024-06-20 12:00:00,4.406,4.466
2024-06-21 12:00:00,4.411,4.471
2024-06-24 12:00:00,4.418,4.478
2024-06-25 12:00:00,4.423,4.483
2024-06-26 12:00:00,4.43,4.49
2024-06-27 12:00:00,4.426,4.486
2024-06-28 12:00:00,4.42,4.48
2024-07-01 12:00:00,4.427,4.487
2024-07-02 12:00:00,4.436,4.496
2024-07-03 12:00:00,4.44,4.5
2024-07-04 12:00:00,4.425,4.485
