Date,Buying,Selling
2024-01-02 12:00:00,32.96,34.3
2024-01-03 12:00:00,33.06,34.4
2024-01-04 12:00:00,33.13,34.47
2024-01-05 12:00:00,33.11,34.45
2024-01-08 12:00:00,33.14,34.48
2024-01-09 12:00:00,33.1,34.44
2024-01-10 12:00:00,33.33,34.67
2024-01-11 12:00:00,33.34,34.68
2024-01-12 12:00:00,33.28,34.62
2024-01-15 12:00:00,33.38,34.72
2024-01-16 12:00:00,33.34,34.68
2024-01-17 12:00:00,33.57,34.91
2024-01-18 12:00:00,33.53,34.87
2024-01-19 12:00:00,33.43,34.77
2024-01-22 12:00:00,33.29,34.63
2024-01-23 12:00:00,33.2,34.54
2024-01-24 12:00:00,33.3,34.64
2024-01-25 12:00:00,33.15,34.49
2024-01-26 12:00:00,33.14,34.48
2024-01-29 12:00:00,33.05,34.39
2024-01-30 12:00:00,32.97,34.31
2024-01-31 12:00:00,33.02,34.36
2024-02-01 12:00:00,33.25,34.59
2024-02-02 12:00:00,32.86,34.2
2024-02-05 12:00:00,32.89,34.23
2024-02-06 12:00:00,32.89,34.23
2024-02-07 12:00:00,32.82,34.16
2024-02-15 12:00:00,33.04,34.38
2024-02-16 12:00:00,32.99,34.33
2024-02-17 12:00:00,33.03,34.37
2024-02-19 12:00:00,33.03,34.37
2024-02-20 12:00:00,33.23,34.57
2024-02-21 12:00:00,33.31,34.65
2024-02-22 12:00:00,33.29,34.63
2024-02-23 12:00:00,33.33,34.67
2024-02-26 12:00:00,33.43,34.77
2024-02-27 12:00:00,33.41,34.75
2024-02-29 12:00:00,33.32,34.66
2024-03-01 12:00:00,33.47,34.81
2024-03-04 12:00:00,33.42,34.76
2024-03-05 12:00:00,33.46,34.8
2024-03-06 12:00:00,33.6,34.94
2024-03-07 12:00:00,33.72,35.06
2024-03-08 12:00:00,33.57,34.91
2024-03-11 12:00:00,33.52,34.86
2024-03-12 12:00:00,33.52,34.86
2024-03-13 12:00:00,33.64,34.98
2024-03-14 12:00:00,33.48,34.82
2024-03-15 12:00:00,33.58,34.92
2024-03-18 12:00:00,33.62,34.96
2024-03-19 12:00:00,33.72,35.06
2024-03-20 12:00:00,34.05,35.39
2024-03-21 12:00:00,33.77,35.11
2024-03-22 12:00:00,33.74,35.08
2024-03-25 12:00:00,33.73,35.07
2024-03-26 12:00:00,33.75,35.09
2024-03-27 12:00:00,33.8,35.14
2024-03-28 12:00:00,33.71,35.05
2024-03-29 12:00:00,33.7,35.04
2024-04-01 12:00:00,33.53,34.87
2024-04-02 12:00:00,33.74,35.08
2024-04-03 12:00:00,33.91,35.25
2024-04-08 12:00:00,34.06,35.4
2024-04-09 12:00:00,34.05,35.39
2024-04-10 12:00:00,33.59,34.93
2024-04-11 12:00:00,33.77,35.11
2024-04-12 12:00:00,33.58,34.92
2024-04-15 12:00:00,33.6,34.94
2024-04-16 12:00:00,33.69,35.03
2024-04-17 12:00:00,33.87,35.21
2024-04-18 12:00:00,33.66,35.0
2024-04-19 12:00:00,33.84,35.18
2024-04-22 12:00:00,33.96,35.3
2024-04-23 12:00:00,34.07,35.41
2024-04-24 12:00:00,34.0,35.34
2024-04-25 12:00:00,34.15,35.49
2024-04-26 12:00:00,34.05,35.39
2024-04-29 12:00:00,34.11,35.45
2024-04-30 12:00:00,34.05,35.39
2024-05-02 12:00:00,34.05,35.39
2024-05-03 12:00:00,34.04,35.38
2024-05-06 12:00:00,34.02,35.36
2024-05-07 12:00:00,34.01,35.35
2024-05-08 12:00:00,34.03,35.37
2024-05-09 12:00:00,34.19,35.53
2024-05-10 12:00:00,34.11,35.45
2024-05-13 12:00:00,34.16,35.5
2024-05-14 12:00:00,34.26,35.6
2024-05-15 12:00:00,34.37,35.71
2024-05-16 12:00:00,34.08,35.42
2024-05-17 12:00:00,34.22,35.56
2024-05-20 12:00:00,34.19,35.53
2024-05-21 12:00:00,34.25,35.59
2024-05-22 12:00:00,34.13,35.47
2024-05-23 12:00:00,34.06,35.4
2024-05-24 12:00:00,34.19,35.53
2024-05-27 12:00:00,34.14,35.48
2024-05-28 12:00:00,34.1,35.44
2024-05-29 12:00:00,34.09,35.43
2024-05-30 12:00:00,34.34,35.68
2024-05-31 12:00:00,34.34,35.68
2024-06-03 12:00:00,34.53,35.87
2024-06-04 12:00:00,34.44,35.78
2024-06-05 12:00:00,34.35,35.69
2024-06-06 12:00:00,34.34,35.68
2024-06-07 12:00:00,33.9,35.24
2024-06-11 12:00:00,33.99,35.33
2024-06-12 12:00:00,34.2,35.54
2024-06-13 12:00:00,33.92,35.26
2024-06-14 12:00:00,33.83,35.17
2024-06-17 12:00:00,33.97,35.31
2024-06-18 12:00:00,33.99,35.33
2024-06-19 12:00:00,33.96,35.3
2024-06-20 12:00:00,33.8,35.14
2024-06-21 12:00:00,33.8,35.14
2024-06-24 12:00:00,33.96,35.3
2024-06-25 12:00:00,33.96,35.3
2024-06-26 12:00:00,33.96,35.3
2024-06-27 12:00:00,34.02,35.36
2024-06-28 12:00:00,34.04,35.38
2024-07-01 12:00:00,34.15,35.49
2024-07-02 12:00:00,34.25,35.59
2024-07-03 12:00:00,34.39,35.73
2024-07-04 12:00:00,34.31,35.65
2024-07-05 12:00:00,34.35,35.69
2024-07-08 12:00:00,34.37,35.71
2024-07-09 12:00:00,34.4,35.74
2024-07-10 12:00:00,34.48,35.82
2024-07-11 12:00:00,34.53,35.87
2024-07-12 12:00:00,34.64,35.98
2024-07-15 12:00:00,34.69,36.03
2024-07-16 12:00:00,34.76,36.1
2024-07-17 12:00:00,34.87,36.21
2024-07-18 12:00:00,34.73,36.07
2024-07-19 12:00:00,34.88,36.22
2024-07-22 12:00:00,34.97,36.31
2024-07-23 12:00:00,34.83,36.17
2024-07-24 12:00:00,34.78,36.12
2024-07-25 12:00:00,34.81,36.15
2024-07-26 12:00:00,34.84,36.18
2024-07-29 12:00:00,34.77,36.11
2024-07-30 12:00:00,34.72,36.06
2024-07-31 12:00:00,34.75,36.09
2024-08-01 12:00:00,34.56,35.9
2024-08-02 12:00:00,34.98,36.32
2024-08-05 12:00:00,34.94,36.28
2024-08-06 12:00:00,34.91,36.25
2024-08-07 12:00:00,34.91,36.25
2024-08-08 12:00:00,34.75,36.09
2024-08-09 12:00:00,34.58,35.92
2024-08-12 12:00:00,34.68,36.02
2024-08-13 12:00:00,34.89,36.23
2024-08-14 12:00:00,34.77,36.11
2024-08-15 12:00:00,34.61,35.95
2024-08-16 12:00:00,34.78,36.12
2024-08-19 12:00:00,34.7,36.04
2024-08-20 12:00:00,34.79,36.13
2024-08-21 12:00:00,34.81,36.15
2024-08-22 12:00:00,34.71,36.05
2024-08-23 12:00:00,34.96,36.3
2024-08-26 12:00:00,34.7,36.04
2024-08-27 12:00:00,34.88,36.22
2024-08-28 12:00:00,34.72,36.06
2024-08-29 12:00:00,34.55,35.89
2024-08-30 12:00:00,34.48,35.82
2024-09-02 12:00:00,34.62,35.96
2024-09-03 12:00:00,34.6,35.94
2024-09-04 12:00:00,34.87,36.21
2024-09-05 12:00:00,34.83,36.17
2024-09-06 12:00:00,34.59,35.93
2024-09-09 12:00:00,34.61,35.95
2024-09-10 12:00:00,34.65,35.99
2024-09-11 12:00:00,34.58,35.92
2024-09-12 12:00:00,34.78,36.12
2024-09-13 12:00:00,34.67,36.01
2024-09-16 12:00:00,34.69,36.03
2024-09-18 12:00:00,34.7,36.04
2024-09-19 12:00:00,34.84,36.18
2024-09-20 12:00:00,34.87,36.21
2024-09-23 12:00:00,34.79,36.13
2024-09-24 12:00:00,34.96,36.3
2024-09-25 12:00:00,34.64,35.98
2024-09-26 12:00:00,34.79,36.13
2024-09-27 12:00:00,34.57,35.91
2024-09-30 12:00:00,34.46,35.8
2024-10-01 12:00:00,34.43,35.77
2024-10-02 12:00:00,34.37,35.71
2024-10-03 12:00:00,34.32,35.66
2024-10-04 12:00:00,34.24,35.58
2024-10-07 12:00:00,34.46,35.8
2024-10-08 12:00:00,34.57,35.91
2024-10-09 12:00:00,34.39,35.73
2024-10-11 12:00:00,34.35,35.69
2024-10-14 12:00:00,34.29,35.63
2024-10-15 12:00:00,34.25,35.59
2024-10-16 12:00:00,34.16,35.5
2024-10-17 12:00:00,34.04,35.38
2024-10-18 12:00:00,34.04,35.38
2024-10-21 12:00:00,33.78,35.12
2024-10-22 12:00:00,33.81,35.15
2024-10-23 12:00:00,33.79,35.13
2024-10-24 12:00:00,33.94,35.28
2024-10-25 12:00:00,33.83,35.17
2024-10-28 12:00:00,33.9,35.24
2024-10-29 12:00:00,33.92,35.26
2024-10-30 12:00:00,33.98,35.32
2024-10-31 12:00:00,34.06,35.4
2024-11-01 12:00:00,33.97,35.31
2024-11-04 12:00:00,33.95,35.29
2024-11-05 12:00:00,34.12,35.46
2024-11-06 12:00:00,33.72,35.06
2024-11-07 12:00:00,34.02,35.36
2024-11-08 12:00:00,33.59,34.93
2024-11-11 12:00:00,33.56,34.9
2024-11-12 12:00:00,33.62,34.96
2024-11-13 12:00:00,33.48,34.82
2024-11-14 12:00:00,33.49,34.83
2024-11-15 12:00:00,33.4,34.74
2024-11-18 12:00:00,33.67,35.01
2024-11-19 12:00:00,33.58,34.92
2024-11-20 12:00:00,33.45,34.79
2024-11-21 12:00:00,33.28,34.62
2024-11-22 12:00:00,33.34,34.68
2024-11-25 12:00:00,33.15,34.49
2024-11-26 12:00:00,33.29,34.63
2024-11-27 12:00:00,33.57,34.91
2024-11-28 12:00:00,33.53,34.87
2024-11-29 12:00:00,33.41,34.75
2024-12-02 12:00:00,33.42,34.76
2024-12-03 12:00:00,33.39,34.73
2024-12-04 12:00:00,33.28,34.62
2024-12-05 12:00:00,33.54,34.88
2024-12-06 12:00:00,33.42,34.76
2024-12-09 12:00:00,33.46,34.8
2024-12-10 12:00:00,33.35,34.69
2024-12-11 12:00:00,33.35,34.69
2024-12-12 12:00:00,33.23,34.57
2024-12-13 12:00:00,33.36,34.7
2024-12-16 12:00:00,33.36,34.7
2024-12-17 12:00:00,33.3,34.64
2024-12-18 12:00:00,32.82,34.16
2024-12-19 12:00:00,33.05,34.39
2024-12-20 12:00:00,33.3,34.64
2024-12-23 12:00:00,33.22,34.56
2024-12-24 12:00:00,33.18,34.52
2024-12-25 12:00:00,33.17,34.51
2024-12-26 12:00:00,33.27,34.61
2024-12-27 12:00:00,33.31,34.65
2024-12-30 12:00:00,33.23,34.57
2024-12-31 12:00:00,33.14,34.48
2025-01-02 12:00:00,32.94,34.28
2025-01-03 12:00:00,33.11,34.45
2025-01-06 12:00:00,33.32,34.66
2025-01-07 12:00:00,33.05,34.39
2025-01-08 12:00:00,33.12,34.46
2025-01-09 12:00:00,33.12,34.46
2025-01-10 12:00:00,32.97,34.31
2025-01-13 12:00:00,33.21,34.55
2025-01-14 12:00:00,33.18,34.52
2025-01-15 12:00:00,33.22,34.56
2025-01-16 12:00:00,33.12,34.46
2025-01-17 12:00:00,33.02,34.36
2025-01-20 12:00:00,33.39,34.73
2025-01-21 12:00:00,33.32,34.66
2025-01-22 12:00:00,33.31,34.65
2025-01-23 12:00:00,33.33,34.67
2025-01-24 12:00:00,32.7,34.04
2025-02-03 12:00:00,33.25,34.59
2025-02-04 12:00:00,33.43,34.77
2025-02-05 12:00:00,33.37,34.71
2025-02-06 12:00:00,33.29,34.63
2025-02-07 12:00:00,33.03,34.37
2025-02-08 12:00:00,32.99,34.33
2025-02-10 12:00:00,33.04,34.38
2025-02-11 12:00:00,33.23,34.57
2025-02-12 12:00:00,33.33,34.67
2025-02-13 12:00:00,33.51,34.85
2025-02-14 12:00:00,33.57,34.91
2025-02-17 12:00:00,33.48,34.82
2025-02-18 12:00:00,33.42,34.76
2025-02-19 12:00:00,33.34,34.68
2025-02-20 12:00:00,33.63,34.97
2025-02-21 12:00:00,33.5,34.84
2025-02-24 12:00:00,33.43,34.77
2025-02-25 12:00:00,33.69,35.03
2025-02-26 12:00:00,33.59,34.93
2025-02-27 12:00:00,33.38,34.72
2025-03-03 12:00:00,33.71,35.05
2025-03-04 12:00:00,34.18,35.52
2025-03-05 12:00:00,34.61,35.95
2025-03-06 12:00:00,34.65,35.99
2025-03-07 12:00:00,34.86,36.2
2025-03-10 12:00:00,34.88,36.22
2025-03-11 12:00:00,35.08,36.42
2025-03-12 12:00:00,35.08,36.42
