Date,Buying,Selling
2024-01-02 12:00:00,33.475,34.075
2024-01-03 12:00:00,33.575,34.175
2024-01-04 12:00:00,33.645,34.245
2024-01-05 12:00:00,33.625,34.225
2024-01-08 12:00:00,33.655,34.255
2024-01-09 12:00:00,33.615,34.215
2024-01-10 12:00:00,33.845,34.445
2024-01-11 12:00:00,33.855,34.455
2024-01-12 12:00:00,33.795,34.395
2024-01-15 12:00:00,33.895,34.495
2024-01-16 12:00:00,33.855,34.455
2024-01-17 12:00:00,34.085,34.685
2024-01-18 12:00:00,34.045,34.645
2024-01-19 12:00:00,33.945,34.545
2024-01-22 12:00:00,33.805,34.405
2024-01-23 12:00:00,33.715,34.315
2024-01-24 12:00:00,33.815,34.415
2024-01-25 12:00:00,33.665,34.265
2024-01-26 12:00:00,33.655,34.255
2024-01-29 12:00:00,33.565,34.165
2024-01-30 12:00:00,33.485,34.085
2024-01-31 12:00:00,33.535,34.135
2024-02-01 12:00:00,33.765,34.365
2024-02-02 12:00:00,33.375,33.975
2024-02-05 12:00:00,33.405,34.005
2024-02-06 12:00:00,33.405,34.005
2024-02-07 12:00:00,33.335,33.935
2024-02-15 12:00:00,33.555,34.155
2024-02-16 12:00:00,33.505,34.105
2024-02-17 12:00:00,33.545,34.145
2024-02-19 12:00:00,33.545,34.145
2024-02-20 12:00:00,33.745,34.345
2024-02-21 12:00:00,33.825,34.425
2024-02-22 12:00:00,33.805,34.405
2024-02-23 12:00:00,33.845,34.445
2024-02-26 12:00:00,33.945,34.545
2024-02-27 12:00:00,33.925,34.525
2024-02-29 12:00:00,33.835,34.435
2024-03-01 12:00:00,33.985,34.585
2024-03-04 12:00:00,33.935,34.535
2024-03-05 12:00:00,33.975,34.575
2024-03-06 12:00:00,34.115,34.715
2024-03-07 12:00:00,34.235,34.835
2024-03-08 12:00:00,34.085,34.685
2024-03-11 12:00:00,34.035,34.635
2024-03-12 12:00:00,34.035,34.635
2024-03-13 12:00:00,34.155,34.755
2024-03-14 12:00:00,33.995,34.595
2024-03-15 12:00:00,34.095,34.695
2024-03-18 12:00:00,34.135,34.735
2024-03-19 12:00:00,34.235,34.835
2024-03-20 12:00:00,34.565,35.165
2024-03-21 12:00:00,34.285,34.885
2024-03-22 12:00:00,34.255,34.855
2024-03-25 12:00:00,34.245,34.845
2024-03-26 12:00:00,34.265,34.865
2024-03-27 12:00:00,34.315,34.915
2024-03-28 12:00:00,34.225,34.825
2024-03-29 12:00:00,34.215,34.815
2024-04-01 12:00:00,34.045,34.645
2024-04-02 12:00:00,34.255,34.855
2024-04-03 12:00:00,34.425,35.025
2024-04-08 12:00:00,34.575,35.175
2024-04-09 12:00:00,34.565,35.165
2024-04-10 12:00:00,34.105,34.705
2024-04-11 12:00:00,34.285,34.885
2024-04-12 12:00:00,34.095,34.695
2024-04-15 12:00:00,34.115,34.715
2024-04-16 12:00:00,34.205,34.805
2024-04-17 12:00:00,34.385,34.985
2024-04-18 12:00:00,34.175,34.775
2024-04-19 12:00:00,34.355,34.955
2024-04-22 12:00:00,34.475,35.075
2024-04-23 12:00:00,34.585,35.185
2024-04-24 12:00:00,34.515,35.115
2024-04-25 12:00:00,34.665,35.265
2024-04-26 12:00:00,34.565,35.165
2024-04-29 12:00:00,34.625,35.225
2024-04-30 12:00:00,34.565,35.165
2024-05-02 12:00:00,34.565,35.165
2024-05-03 12:00:00,34.555,35.155
2024-05-06 12:00:00,34.535,35.135
