Date,Buying,Selling
2024-01-02 12:00:00,30.46,31.13
2024-01-03 12:00:00,30.61,31.28
2024-01-04 12:00:00,30.595,31.265
2024-01-05 12:00:00,30.61,31.28
2024-01-08 12:00:00,30.595,31.265
2024-01-09 12:00:00,30.62,31.29
2024-01-10 12:00:00,30.72,31.39
2024-01-11 12:00:00,30.695,31.365
2024-01-12 12:00:00,30.725,31.395
2024-01-15 12:00:00,30.82,31.49
2024-01-16 12:00:00,30.995,31.665
2024-01-17 12:00:00,31.19,31.86
2024-01-18 12:00:00,31.175,31.845
2024-01-19 12:00:00,31.035,31.705
2024-01-22 12:00:00,30.935,31.605
2024-01-23 12:00:00,30.925,31.595
2024-01-24 12:00:00,30.94,31.61
2024-01-25 12:00:00,30.91,31.58
2024-01-26 12:00:00,30.89,31.56
2024-01-29 12:00:00,30.85,31.52
2024-01-30 12:00:00,30.74,31.41
2024-01-31 12:00:00,30.89,31.56
2024-02-01 12:00:00,30.93,31.6
2024-02-02 12:00:00,30.83,31.5
2024-02-05 12:00:00,30.97,31.64
2024-02-06 12:00:00,30.93,31.6
2024-02-07 12:00:00,30.95,31.62
2024-02-15 12:00:00,31.025,31.695
2024-02-16 12:00:00,30.96,31.63
2024-02-17 12:00:00,30.985,31.655
2024-02-19 12:00:00,31.0,31.67
2024-02-20 12:00:00,31.095,31.765
2024-02-21 12:00:00,31.13,31.8
2024-02-22 12:00:00,31.105,31.775
2024-02-23 12:00:00,31.15,31.82
2024-02-26 12:00:00,31.15,31.82
2024-02-27 12:00:00,31.17,31.84
2024-02-29 12:00:00,31.18,31.85
2024-03-01 12:00:00,31.21,31.88
2024-03-04 12:00:00,31.125,31.795
2024-03-05 12:00:00,31.165,31.835
2024-03-06 12:00:00,31.175,31.845
2024-03-07 12:00:00,31.14,31.81
2024-03-08 12:00:00,31.025,31.695
2024-03-11 12:00:00,31.02,31.69
2024-03-12 12:00:00,31.015,31.685
2024-03-13 12:00:00,31.06,31.73
2024-03-14 12:00:00,31.1,31.77
2024-03-15 12:00:00,31.195,31.865
2024-03-18 12:00:00,31.26,31.93
2024-03-19 12:00:00,31.38,32.05
2024-03-20 12:00:00,31.47,32.14
2024-03-21 12:00:00,31.435,32.105
2024-03-22 12:00:00,31.555,32.225
2024-03-25 12:00:00,31.465,32.135
