Date,Buying,Selling
2024-01-02 12:00:00,30.785,30.935
2024-01-03 12:00:00,30.935,31.085
2024-01-04 12:00:00,30.92,31.07
2024-01-05 12:00:00,30.935,31.085
2024-01-08 12:00:00,30.92,31.07
2024-01-09 12:00:00,30.945,31.095
2024-01-10 12:00:00,31.045,31.195
2024-01-11 12:00:00,31.02,31.17
2024-01-12 12:00:00,31.05,31.2
2024-01-15 12:00:00,31.145,31.295
2024-01-16 12:00:00,31.32,31.47
2024-01-17 12:00:00,31.515,31.665
2024-01-18 12:00:00,31.5,31.65
2024-01-19 12:00:00,31.36,31.51
2024-01-22 12:00:00,31.26,31.41
2024-01-23 12:00:00,31.25,31.4
2024-01-24 12:00:00,31.265,31.415
2024-01-25 12:00:00,31.235,31.385
2024-01-26 12:00:00,31.215,31.365
2024-01-29 12:00:00,31.175,31.325
2024-01-30 12:00:00,31.065,31.215
2024-01-31 12:00:00,31.215,31.365
2024-02-01 12:00:00,31.255,31.405
2024-02-02 12:00:00,31.155,31.305
2024-02-05 12:00:00,31.295,31.445
2024-02-06 12:00:00,31.255,31.405
2024-02-07 12:00:00,31.275,31.425
2024-02-15 12:00:00,31.35,31.5
2024-02-16 12:00:00,31.285,31.435
2024-02-17 12:00:00,31.31,31.46
2024-02-19 12:00:00,31.325,31.475
2024-02-20 12:00:00,31.42,31.57
2024-02-21 12:00:00,31.455,31.605
2024-02-22 12:00:00,31.43,31.58
2024-02-23 12:00:00,31.475,31.625
2024-02-26 12:00:00,31.475,31.625
2024-02-27 12:00:00,31.495,31.645
2024-02-29 12:00:00,31.505,31.655
2024-03-01 12:00:00,31.535,31.685
2024-03-04 12:00:00,31.45,31.6
2024-03-05 12:00:00,31.49,31.64
2024-03-06 12:00:00,31.5,31.65
2024-03-07 12:00:00,31.465,31.615
2024-03-08 12:00:00,31.35,31.5
2024-03-11 12:00:00,31.345,31.495
2024-03-12 12:00:00,31.34,31.49
2024-03-13 12:00:00,31.385,31.535
2024-03-14 12:00:00,31.425,31.575
2024-03-15 12:00:00,31.52,31.67
2024-03-18 12:00:00,31.585,31.735
2024-03-19 12:00:00,31.705,31.855
2024-03-20 12:00:00,31.795,31.945
2024-03-21 12:00:00,31.76,31.91
2024-03-22 12:00:00,31.88,32.03
2024-03-25 12:00:00,31.79,31.94
2024-03-26 12:00:00,31.825,31.975
2024-03-27 12:00:00,31.925,32.075
2024-03-28 12:00:00,31.915,32.065
2024-03-29 12:00:00,31.915,32.065
2024-04-01 12:00:00,31.905,32.055
2024-04-02 12:00:00,32.0,32.15
2024-04-03 12:00:00,31.98,32.13
2024-04-08 12:00:00,32.025,32.175
2024-04-09 12:00:00,32.025,32.175
2024-04-10 12:00:00,31.935,32.085
2024-04-11 12:00:00,32.155,32.305
2024-04-12 12:00:00,32.215,32.365
2024-04-15 12:00:00,32.305,32.455
2024-04-16 12:00:00,32.415,32.565
2024-04-17 12:00:00,32.415,32.565
2024-04-18 12:00:00,32.3,32.45
2024-04-19 12:00:00,32.435,32.585
2024-04-22 12:00:00,32.56,32.71
2024-04-23 12:00:00,32.52,32.67
2024-04-24 12:00:00,32.46,32.61
2024-04-25 12:00:00,32.5,32.65
2024-04-26 12:00:00,32.485,32.635
2024-04-29 12:00:00,32.485,32.635
2024-04-30 12:00:00,32.465,32.615
2024-05-02 12:00:00,32.425,32.575
2024-05-03 12:00:00,32.3,32.45
2024-05-06 12:00:00,32.27,32.42
2024-05-07 12:00:00,32.295,32.445
2024-05-08 12:00:00,32.335,32.485
2024-05-09 12:00:00,32.38,32.53
2024-05-10 12:00:00,32.335,32.485
2024-05-13 12:00:00,32.335,32.485
2024-05-14 12:00:00,32.34,32.49
2024-05-15 12:00:00,32.23,32.38
2024-05-16 12:00:00,32.025,32.175
