Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
2025/01/02 00:00:00,4.3920,4.4640,4.5540,4.5140
2025/01/03 00:00:00,4.3820,4.4540,4.5440,4.5040
2025/01/06 00:00:00,4.3710,4.4430,4.5330,4.4930
2025/01/07 00:00:00,4.3640,4.4360,4.5260,4.4860
2025/01/08 00:00:00,4.3780,4.4500,4.5400,4.5000
2025/01/09 00:00:00,4.3820,4.4540,4.5440,4.5040
2025/01/10 00:00:00,4.3860,4.4580,4.5480,4.5080
2025/01/13 00:00:00,4.4070,4.4790,4.5690,4.5290
2025/01/14 00:00:00,4.3890,4.4610,4.5510,4.5110
2025/01/15 00:00:00,4.4040,4.4760,4.5660,4.5260
2025/01/16 00:00:00,4.3840,4.4560,4.5460,4.5060
2025/01/17 00:00:00,4.3860,4.4580,4.5480,4.5080
2025/01/20 00:00:00,4.3800,4.4520,4.5420,4.5020
2025/01/21 00:00:00,4.4040,4.4760,4.5660,4.5260
2025/01/22 00:00:00,4.4010,4.4730,4.5630,4.5230
2025/01/23 00:00:00,4.3970,4.4690,4.5590,4.5190
2025/01/24 00:00:00,4.4090,4.4810,4.5710,4.5310
2025/02/03 00:00:00,4.3900,4.4620,4.5520,4.5120
2025/02/04 00:00:00,4.4150,4.4870,4.5770,4.5370
2025/02/05 00:00:00,4.4170,4.4890,4.5790,4.5390
2025/02/06 00:00:00,4.4060,4.4780,4.5680,4.5280
2025/02/07 00:00:00,4.3950,4.4670,4.5570,4.5170
2025/02/08 00:00:00,4.3920,4.4640,4.5540,4.5140
2025/02/10 00:00:00,4.3930,4.4650,4.5550,4.5150
2025/02/11 00:00:00,4.3960,4.4680,4.5580,4.5180
2025/02/12 00:00:00,4.3950,4.4670,4.5570,4.5170
2025/02/13 00:00:00,4.4000,4.4720,4.5620,4.5220
2025/02/14 00:00:00,4.4110,4.4830,4.5730,4.5330
2025/02/17 00:00:00,4.4100,4.4820,4.5720,4.5320
2025/02/18 00:00:00,4.4010,4.4730,4.5630,4.5230
2025/02/19 00:00:00,4.3960,4.4680,4.5580,4.5180
2025/02/20 00:00:00,4.4140,4.4860,4.5760,4.5360
2025/02/21 00:00:00,4.4210,4.4930,4.5830,4.5430
2025/02/24 00:00:00,4.4170,4.4890,4.5790,4.5390
2025/02/25 00:00:00,4.4160,4.4880,4.5780,4.5380
2025/02/26 00:00:00,4.4200,4.4920,4.5820,4.5420
2025/02/27 00:00:00,4.4150,4.4870,4.5770,4.5370
2025/03/03 00:00:00,4.4110,4.4830,4.5730,4.5330
2025/03/04 00:00:00,4.4180,4.4900,4.5800,4.5400
2025/03/05 00:00:00,4.4240,4.4960,4.5860,4.5460
2025/03/06 00:00:00,4.4380,4.5100,4.6000,4.5600
2025/03/07 00:00:00,4.4350,4.5070,4.5970,4.5570
2025/03/10 00:00:00,4.4320,4.5040,4.5940,4.5540
2025/03/11 00:00:00,4.4500,4.5220,4.6120,4.5720
2025/03/12 00:00:00,4.4510,4.5230,4.6130,4.5730
2025/03/13 00:00:00,4.4540,4.5260,4.6160,4.5760
2025/03/14 00:00:00,4.4570,4.5290,4.6190,4.5790
2025/03/17 00:00:00,4.4610,4.5330,4.6230,4.5830
2025/03/18 00:00:00,4.4690,4.5410,4.6310,4.5910
2025/03/19 00:00:00,4.4670,4.5390,4.6290,4.5890
2025/03/20 00:00:00,4.4610,4.5330,4.6230,4.5830
2025/03/21 00:00:00,4.4530,4.5250,4.6150,4.5750
2025/03/24 00:00:00,4.4550,4.5270,4.6170,4.5770
2025/03/25 00:00:00,4.4530,4.5250,4.6150,4.5750
2025/03/26 00:00:00,4.4530,4.5250,4.6150,4.5750
2025/03/27 00:00:00,4.4550,4.5270,4.6170,4.5770
2025/03/28 00:00:00,4.4550,4.5270,4.6170,4.5770
2025/03/31 00:00:00,4.4760,4.5480,4.6380,4.5980
2025/04/01 00:00:00,4.4630,4.5350,4.6250,4.5850
2025/04/02 00:00:00,4.4480,4.5200,4.6100,4.5700
2025/04/04 00:00:00,4.5290,4.5185,4.5890,4.5696
2025/04/07 00:00:00,4.5010,4.4985,4.5510,4.5505
2025/04/08 00:00:00,4.4690,4.4675,4.5190,4.5186
2025/04/09 00:00:00,4.4550,4.4530,4.5050,4.5042
2025/04/10 00:00:00,4.4470,4.4457,4.4970,4.4966
2025/04/11 00:00:00,4.4530,4.4519,4.5030,4.5029
2025/04/14 00:00:00,4.4220,4.4216,4.4720,4.4724
2025/04/15 00:00:00,4.4130,4.4127,4.4630,4.4633
2025/04/16 00:00:00,4.4110,4.4103,4.4610,4.4611
2025/04/17 00:00:00,4.4240,4.4239,4.4740,4.4745
2025/04/18 00:00:00,4.4400,4.4396,4.4900,4.4907
2025/04/21 00:00:00,4.4350,4.4350,4.4850,4.4854
2025/04/22 00:00:00,4.4190,4.4183,4.4690,4.4691
2025/04/23 00:00:00,4.4270,4.4262,4.4770,4.4772
2025/04/24 00:00:00,4.4300,4.4294,4.4800,4.4802
2025/04/25 00:00:00,4.4310,4.4300,4.4810,4.4814
2025/04/28 00:00:00,4.4260,4.4254,4.4760,4.4762
2025/04/29 00:00:00,4.4140,4.4129,4.4640,4.4639
2025/04/30 00:00:00,4.3860,4.3854,4.4360,4.4365
2025/05/01 00:00:00,4.3640,4.3774,4.4240,4.4285
2025/05/02 00:00:00,4.2770,4.2757,4.3270,4.3275
2025/05/05 00:00:00,4.1300,4.1278,4.1800,4.1804
2025/05/06 00:00:00,4.1570,4.1561,4.2070,4.2073
2025/05/07 00:00:00,4.1610,4.1606,4.2110,4.2115
2025/05/08 00:00:00,4.1560,4.1553,4.2060,4.2064
2025/05/09 00:00:00,4.1570,4.1563,4.2070,4.2074
2025/05/12 00:00:00,4.1640,4.1633,4.2140,4.2141
2025/05/13 00:00:00,4.2030,4.2025,4.2530,4.2531
2025/05/14 00:00:00,4.1750,4.1743,4.2250,4.2253
2025/05/15 00:00:00,4.1580,4.1575,4.2080,4.2081
2025/05/16 00:00:00,4.1620,4.1609,4.2120,4.2127
2025/05/19 00:00:00,4.1610,4.1602,4.2110,4.2113
2025/05/20 00:00:00,4.1560,4.1553,4.2060,4.2063
2025/05/21 00:00:00,4.1580,4.1571,4.2080,4.2083
2025/05/22 00:00:00,4.1420,4.1414,4.1920,4.1922
2025/05/23 00:00:00,4.1430,4.1423,4.1930,4.1932
2025/05/26 00:00:00,4.1430,4.1422,4.1930,4.1933
2025/05/27 00:00:00,4.1320,4.1314,4.1820,4.1821
2025/05/28 00:00:00,4.1340,4.1336,4.1840,4.1843
2025/05/29 00:00:00,4.1400,4.1396,4.1900,4.1902
2025/05/30 00:00:00,4.1310,4.1336,4.1910,4.1842
2025/06/02 00:00:00,4.1320,4.1308,4.1820,4.1822
2025/06/03 00:00:00,4.1420,4.1412,4.1920,4.1921
2025/06/04 00:00:00,4.1440,4.1435,4.1940,4.1941
2025/06/05 00:00:00,4.1400,4.1390,4.1900,4.1903
2025/06/06 00:00:00,4.1380,4.1372,4.1880,4.1882
2025/06/09 00:00:00,4.1430,4.1424,4.1930,4.1934
2025/06/10 00:00:00,4.1360,4.1355,4.1860,4.1859
2025/06/11 00:00:00,4.1350,4.1347,4.1850,4.1852
2025/06/12 00:00:00,4.1110,4.1102,4.1610,4.1613
2025/06/13 00:00:00,4.0940,4.0932,4.1440,4.1446
2025/06/13 12:42:30,4.0980,4.1002,4.1580,4.1516
2025/06/13 12:45:51,4.0960,4.1002,4.1560,4.1516
2025/06/13 12:46:18,4.0960,4.1002,4.1560,4.1516
2025/06/13 12:46:32,4.0960,4.1002,4.1560,4.1516
2025/06/13 12:47:42,4.0960,4.1002,4.1560,4.1516
2025/06/13 12:48:31,4.0960,4.1002,4.1560,4.1516
2025/06/13 12:48:58,4.0960,4.1002,4.1560,4.1516
2025/06/13 12:49:39,4.0960,4.1002,4.1560,4.1516
2025/06/13 12:50:20,4.0960,4.1002,4.1560,4.1516
2025/06/13 12:52:22,4.0960,4.1002,4.1560,4.1516
2025/06/13 12:53:38,4.0960,4.1002,4.1560,4.1516
2025/06/13 12:59:19,4.0960,4.1002,4.1560,4.1516
2025/06/13 13:00:05,4.0960,4.1002,4.1560,4.1516
2025/06/16 08:00:10,4.0960,4.0953,4.1460,4.1464
2025/06/16 13:00:06,4.0800,4.0823,4.1400,4.1334
2025/06/17 08:00:13,4.0830,4.0823,4.1330,4.1334
2025/06/17 13:00:08,4.0780,4.0813,4.1380,4.1324
2025/06/18 08:00:10,4.0830,4.0827,4.1330,4.1332
2025/06/18 13:00:11,4.0790,4.0817,4.1390,4.1322
2025/06/19 08:00:10,4.0880,4.0874,4.1380,4.1381
2025/06/19 13:00:22,4.0920,4.0904,4.1520,4.1411
2025/06/20 08:00:11,4.0860,4.0852,4.1360,4.1363
2025/06/20 13:00:09,4.0820,4.0822,4.1420,4.1333
2025/06/23 08:00:12,4.1030,4.1021,4.1530,4.1533
2025/06/23 13:00:10,4.1060,4.1111,4.1660,4.1623
2025/06/24 08:00:10,4.0910,4.0900,4.1410,4.1415
2025/06/24 13:00:11,4.0870,4.0880,4.1470,4.1395
