Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate.1,Cash.1,Spot.1,Forward-10Days.1,Forward-30Days.1,Forward-60Days.1,Forward-90Days.1,Forward-120Days.1,Forward-150Days.1,Forward-180Days.1
Buying,29.9,30.225,30.231,30.169,30.093,30.014,29.949,29.88,29.812,Selling,30.57,30.375,30.334,30.278,30.213,30.144,30.089,30.03,29.97
Buying,3.721,3.842,3.849,3.849,3.848,3.847,3.843,3.839,3.835,Selling,3.925,3.912,3.91,3.913,3.912,3.912,3.909,3.906,3.903
Buying,39.7,40.595,40.701,40.624,40.527,40.45,40.365,40.28,40.195,Selling,41.82,41.225,41.12,41.081,40.993,40.921,40.849,40.777,40.705
Buying,19.14,19.355,19.394,19.362,19.32,19.29,19.257,19.225,19.191,Selling,19.92,19.7,19.601,19.584,19.547,19.517,19.489,19.462,19.435
Buying,21.37,21.7,21.738,21.714,21.686,21.672,21.651,21.63,21.609,Selling,22.28,22.03,21.948,21.944,21.92,21.909,21.894,21.879,21.865
Buying,23.01,23.48,23.483,23.468,23.46,23.46,23.457,23.453,23.45,Selling,23.92,23.7,23.675,23.684,23.68,23.681,23.684,23.687,23.691
Buying,36.75,37.36,37.367,37.38,37.422,37.477,37.527,37.577,37.628,Selling,37.95,37.75,37.637,37.691,37.741,37.797,37.858,37.919,37.98
Buying,0.1964,0.2032,0.2033,0.2034,0.2035,0.2037,0.2038,0.2039,0.204,Selling,0.2092,0.2082,0.2074,0.2076,0.2078,0.208,0.2082,0.2084,0.2086
Buying,0.0,1.669,1.669,1.663,1.655,1.648,1.64,1.632,1.625,Selling,0.0,1.759,1.75,1.745,1.738,1.731,1.723,1.716,1.709
Buying,0.0,3.1,3.109,3.106,3.104,3.103,3.102,3.101,3.099,Selling,0.0,3.22,3.21,3.211,3.209,3.209,3.208,3.208,3.208
Buying,17.19,17.52,17.537,17.51,17.482,17.462,17.439,17.415,17.392,Selling,18.04,17.82,17.747,17.74,17.716,17.697,17.678,17.66,17.641
Buying,0.803,0.9134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.993,0.9594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.4658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.5978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,34.55,35.065,35.079,35.058,35.041,35.022,35.003,34.983,34.951,Selling,35.89,35.665,35.49,35.489,35.472,35.46,35.454,35.447,35.44
Buying,0.01994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.02384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,6.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,7.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,4.123,4.19,4.1943,4.1929,4.1925,4.1921,4.1906,4.1887,4.1875,Selling,4.285,4.25,4.2452,4.2455,4.2453,4.2445,4.2446,4.2448,4.245
