Data Date,Cash,Spot,Cash.1,Spot.1
2025-09-05 00:00:00,4.1860,4.2580,4.3480,4.3080
2025-09-08 00:00:00,4.1810,4.2530,4.3430,4.3030
2025-09-09 00:00:00,4.1630,4.2350,4.3250,4.2850
2025-09-10 00:00:00,4.1540,4.2260,4.3160,4.2760
2025-09-11 00:00:00,4.1580,4.2300,4.3200,4.2800
2025-09-12 00:00:00,4.1470,4.2190,4.3090,4.2690
2025-09-15 00:00:00,4.1430,4.2150,4.3050,4.2650
2025-09-16 00:00:00,4.1300,4.2020,4.2920,4.2520
2025-09-17 00:00:00,4.1300,4.2020,4.2920,4.2520
2025-09-18 00:00:00,4.1360,4.2080,4.2980,4.2580
2025-09-19 00:00:00,4.1500,4.2220,4.3120,4.2720
2025-09-22 00:00:00,4.1510,4.2230,4.3130,4.2730
2025-09-23 00:00:00,4.1570,4.2290,4.3190,4.2790
2025-09-24 00:00:00,4.1570,4.2290,4.3190,4.2790
2025-09-25 00:00:00,4.1690,4.2410,4.3310,4.2910
2025-09-26 00:00:00,4.1750,4.2470,4.3370,4.2970
2025-09-30 00:00:00,4.1740,4.2460,4.3360,4.2960
2025-10-01 00:00:00,4.1740,4.2460,4.3360,4.2960
2025-10-02 00:00:00,4.1660,4.2380,4.3280,4.2880
2025-10-03 00:00:00,4.1580,4.2300,4.3200,4.2800
2025-10-07 00:00:00,4.1750,4.2470,4.3370,4.2970
2025-10-08 00:00:00,4.1740,4.2460,4.3360,4.2960
2025-10-09 00:00:00,4.1820,4.2540,4.3440,4.3040
2025-10-13 00:00:00,4.2020,4.2740,4.3640,4.3240
2025-10-14 00:00:00,4.2050,4.2770,4.3670,4.3270
2025-10-15 00:00:00,4.1990,4.2710,4.3610,4.3210
2025-10-16 00:00:00,4.2000,4.2720,4.3620,4.3220
2025-10-17 00:00:00,4.2030,4.2750,4.3650,4.3250
2025-10-20 00:00:00,4.2000,4.2720,4.3620,4.3220
2025-10-21 00:00:00,4.2110,4.2830,4.3730,4.3330
2025-10-22 00:00:00,4.2130,4.2850,4.3750,4.3350
2025-10-23 00:00:00,4.2260,4.2980,4.3880,4.3480
2025-10-27 00:00:00,4.2180,4.2900,4.3800,4.3400
2025-10-28 00:00:00,4.2160,4.2880,4.3780,4.3380
2025-10-29 00:00:00,4.2160,4.2880,4.3780,4.3380
2025-10-30 00:00:00,4.2210,4.2930,4.3830,4.3430
2025-10-31 00:00:00,4.2200,4.2920,4.3820,4.3420
2025-11-03 00:00:00,4.2320,4.3040,4.3940,4.3540
2025-11-04 00:00:00,4.2380,4.3100,4.4000,4.3600
2025-11-05 00:00:00,4.2400,4.3120,4.4020,4.3620
2025-11-06 00:00:00,4.2450,4.3170,4.4070,4.3670
2025-11-07 00:00:00,4.2570,4.3290,4.4190,4.3790
2025-11-10 00:00:00,4.2560,4.3280,4.4180,4.3780
2025-11-11 00:00:00,4.2600,4.3320,4.4220,4.3820
2025-11-12 00:00:00,4.2640,4.3360,4.4260,4.3860
2025-11-13 00:00:00,4.2780,4.3500,4.4400,4.4000
2025-11-14 00:00:00,4.2890,4.3610,4.4510,4.4110
2025-11-17 00:00:00,4.2870,4.3590,4.4490,4.4090
2025-11-18 00:00:00,4.2860,4.3580,4.4480,4.4080
2025-11-19 00:00:00,4.2960,4.3680,4.4580,4.4180
2025-11-20 00:00:00,4.2980,4.3700,4.4600,4.4200
2025-11-21 00:00:00,4.3190,4.3910,4.4810,4.4410
2025-11-24 00:00:00,4.3250,4.3970,4.4870,4.4470
2025-11-25 00:00:00,4.3340,4.4060,4.4960,4.4560
2025-11-26 00:00:00,4.3300,4.4020,4.4920,4.4520
2025-11-27 00:00:00,4.3280,4.4000,4.4900,4.4500
2025-11-28 00:00:00,4.3410,4.4130,4.5030,4.4630
2025-12-01 00:00:00,4.3490,4.4210,4.5110,4.4710
2025-12-02 00:00:00,4.3480,4.4200,4.5100,4.4700
2025-12-03 00:00:00,4.3390,4.4110,4.5010,4.4610
2025-12-04 00:00:00,4.3380,4.4100,4.5000,4.4600
2025-12-05 00:00:00,4.3230,4.3950,4.4850,4.4450
2025-12-08 00:00:00,4.3150,4.3870,4.4770,4.4370
2025-12-09 00:00:00,4.3150,4.3870,4.4770,4.4370
2025-12-10 00:00:00,4.3210,4.3930,4.4830,4.4430
2025-12-11 00:00:00,4.3310,4.4030,4.4930,4.4530
2025-12-12 00:00:00,4.3210,4.3930,4.4830,4.4430
2025-12-15 00:00:00,4.3560,4.4280,4.5180,4.4780
2025-12-16 00:00:00,4.3740,4.4460,4.5360,4.4960
2025-12-17 00:00:00,4.3810,4.4530,4.5430,4.5030
2025-12-18 00:00:00,4.3820,4.4540,4.5440,4.5040
2025-12-19 00:00:00,4.3840,4.4560,4.5460,4.5060
2025-12-22 00:00:00,4.3860,4.4580,4.5480,4.5080
2025-12-23 00:00:00,4.3930,4.4650,4.5550,4.5150
2025-12-24 00:00:00,4.3960,4.4680,4.5580,4.5180
2025-12-26 00:00:00,4.3900,4.4620,4.5520,4.5120
2025-12-29 00:00:00,4.3910,4.4630,4.5530,4.5130
2025-12-30 00:00:00,4.3940,4.4660,4.5560,4.5160
2025-12-31 00:00:00,4.3990,4.4710,4.5610,4.5210
2026-01-02 00:00:00,4.4090,4.4810,4.5710,4.5310
2026-01-05 00:00:00,4.4230,4.4950,4.5850,4.5450
2026-01-06 00:00:00,4.4210,4.4930,4.5830,4.5430
2026-01-07 00:00:00,4.4110,4.4830,4.5730,4.5330
2026-01-08 00:00:00,4.4250,4.4970,4.5870,4.5470
2026-01-09 00:00:00,4.4290,4.5010,4.5910,4.5510
2026-01-12 00:00:00,4.4410,4.5130,4.6030,4.5630
2026-01-13 00:00:00,4.4410,4.5130,4.6030,4.5630
2026-01-14 00:00:00,4.4400,4.5120,4.6020,4.5620
2026-01-15 00:00:00,4.4330,4.5050,4.5950,4.5550
2026-01-16 00:00:00,4.4330,4.5050,4.5950,4.5550
2026-01-19 00:00:00,4.4430,4.5150,4.6050,4.5650
2026-01-20 00:00:00,4.4480,4.5200,4.6100,4.5700
2026-01-21 00:00:00,4.4480,4.5200,4.6100,4.5700
2026-01-22 00:00:00,4.4420,4.5140,4.6040,4.5640
2026-01-23 00:00:00,4.4340,4.5060,4.5960,4.5560
2026-01-26 00:00:00,4.4310,4.5030,4.5930,4.5530
2026-01-27 00:00:00,4.4210,4.4930,4.5830,4.5430
2026-01-28 00:00:00,4.4100,4.4820,4.5720,4.5320
2026-01-29 00:00:00,4.4110,4.4830,4.5730,4.5330
2026-01-30 00:00:00,4.4320,4.5040,4.5940,4.5540
2026-02-02 00:00:00,4.4500,4.5220,4.6120,4.5720
2026-02-03 00:00:00,4.4540,4.5260,4.6160,4.5760
2026-02-04 00:00:00,4.4550,4.5270,4.6170,4.5770
2026-02-05 00:00:00,4.4630,4.5350,4.6250,4.5850
2026-02-06 00:00:00,4.4690,4.5410,4.6310,4.5910
2026-02-09 00:00:00,4.4550,4.5270,4.6170,4.5770
2026-02-10 00:00:00,4.4690,4.5410,4.6310,4.5910
2026-02-11 00:00:00,4.4550,4.5270,4.6170,4.5770
2026-02-12 00:00:00,4.4600,4.5320,4.6220,4.5820
2026-02-13 00:00:00,4.4630,4.5350,4.6250,4.5850
2026-02-23 00:00:00,4.4700,4.5420,4.6320,4.5920
2026-02-24 00:00:00,4.4700,4.5420,4.6320,4.5920
