Data Date,Cash,Spot,Cash.1,Spot.1
2025-09-05 00:00:00,34.8700,35.4900,36.2100,35.8900
2025-09-08 00:00:00,34.9800,35.6000,36.3200,36.0000
2025-09-09 00:00:00,34.8500,35.4700,36.1900,35.8700
2025-09-10 00:00:00,34.6000,35.2200,35.9400,35.6200
2025-09-11 00:00:00,34.6200,35.2400,35.9600,35.6400
2025-09-12 00:00:00,34.6600,35.2800,36.0000,35.6800
2025-09-15 00:00:00,34.6300,35.2500,35.9700,35.6500
2025-09-16 00:00:00,34.6400,35.2600,35.9800,35.6600
2025-09-17 00:00:00,34.7500,35.3700,36.0900,35.7700
2025-09-18 00:00:00,34.7700,35.3900,36.1100,35.7900
2025-09-19 00:00:00,34.7300,35.3500,36.0700,35.7500
2025-09-22 00:00:00,34.7200,35.3400,36.0600,35.7400
2025-09-23 00:00:00,34.8800,35.5000,36.2200,35.9000
2025-09-24 00:00:00,34.9000,35.5200,36.2400,35.9200
2025-09-25 00:00:00,34.8800,35.5000,36.2200,35.9000
2025-09-26 00:00:00,34.8000,35.4200,36.1400,35.8200
2025-09-30 00:00:00,34.9500,35.5700,36.2900,35.9700
2025-10-01 00:00:00,34.9600,35.5800,36.3000,35.9800
2025-10-02 00:00:00,34.9200,35.5400,36.2600,35.9400
2025-10-03 00:00:00,34.8100,35.4300,36.1500,35.8300
2025-10-07 00:00:00,34.8200,35.4400,36.1600,35.8400
2025-10-08 00:00:00,34.6900,35.3100,36.0300,35.7100
2025-10-09 00:00:00,34.6400,35.2600,35.9800,35.6600
2025-10-13 00:00:00,34.8000,35.4200,36.1400,35.8200
2025-10-14 00:00:00,34.7200,35.3400,36.0600,35.7400
2025-10-15 00:00:00,34.8300,35.4500,36.1700,35.8500
2025-10-16 00:00:00,34.8800,35.5000,36.2200,35.9000
2025-10-17 00:00:00,35.1000,35.7200,36.4400,36.1200
2025-10-20 00:00:00,34.8900,35.5100,36.2300,35.9100
2025-10-21 00:00:00,34.8400,35.4600,36.1800,35.8600
2025-10-22 00:00:00,34.8200,35.4400,36.1600,35.8400
2025-10-23 00:00:00,34.9200,35.5400,36.2600,35.9400
2025-10-27 00:00:00,34.8500,35.4700,36.1900,35.8700
2025-10-28 00:00:00,34.8700,35.4900,36.2100,35.8900
2025-10-29 00:00:00,34.8000,35.4200,36.1400,35.8200
2025-10-30 00:00:00,34.8400,35.4600,36.1800,35.8600
2025-10-31 00:00:00,34.7200,35.3400,36.0600,35.7400
2025-11-03 00:00:00,34.7600,35.3800,36.1000,35.7800
