Data Date,Cash,Spot,Cash.1,Spot.1
2025-09-05 00:00:00,0.1970,0.2043,0.2098,0.2083
2025-09-08 00:00:00,0.1975,0.2048,0.2103,0.2088
2025-09-09 00:00:00,0.1969,0.2042,0.2097,0.2082
2025-09-10 00:00:00,0.1959,0.2032,0.2087,0.2072
2025-09-11 00:00:00,0.1958,0.2031,0.2086,0.2071
2025-09-12 00:00:00,0.1957,0.2030,0.2085,0.2070
2025-09-15 00:00:00,0.1956,0.2029,0.2084,0.2069
2025-09-16 00:00:00,0.1954,0.2027,0.2082,0.2067
2025-09-17 00:00:00,0.1956,0.2029,0.2084,0.2069
2025-09-18 00:00:00,0.1952,0.2025,0.2080,0.2065
2025-09-19 00:00:00,0.1950,0.2023,0.2078,0.2063
2025-09-22 00:00:00,0.1950,0.2023,0.2078,0.2063
2025-09-23 00:00:00,0.1957,0.2030,0.2085,0.2070
2025-09-24 00:00:00,0.1955,0.2028,0.2083,0.2068
2025-09-25 00:00:00,0.1952,0.2025,0.2080,0.2065
2025-09-26 00:00:00,0.1944,0.2017,0.2072,0.2057
2025-09-30 00:00:00,0.1965,0.2038,0.2093,0.2078
2025-10-01 00:00:00,0.1977,0.2050,0.2105,0.2090
2025-10-02 00:00:00,0.1975,0.2048,0.2103,0.2088
2025-10-03 00:00:00,0.1967,0.2040,0.2095,0.2080
2025-10-07 00:00:00,0.1934,0.2007,0.2062,0.2047
2025-10-08 00:00:00,0.1909,0.1982,0.2037,0.2022
2025-10-09 00:00:00,0.1902,0.1975,0.2030,0.2015
2025-10-13 00:00:00,0.1923,0.1996,0.2051,0.2036
2025-10-14 00:00:00,0.1931,0.2004,0.2059,0.2044
2025-10-15 00:00:00,0.1933,0.2006,0.2061,0.2046
2025-10-16 00:00:00,0.1933,0.2006,0.2061,0.2046
2025-10-17 00:00:00,0.1956,0.2029,0.2084,0.2069
2025-10-20 00:00:00,0.1939,0.2012,0.2067,0.2052
2025-10-21 00:00:00,0.1937,0.2010,0.2065,0.2050
2025-10-22 00:00:00,0.1931,0.2004,0.2059,0.2044
2025-10-23 00:00:00,0.1928,0.2001,0.2056,0.2041
2025-10-27 00:00:00,0.1913,0.1986,0.2041,0.2026
2025-10-28 00:00:00,0.1921,0.1994,0.2049,0.2034
2025-10-29 00:00:00,0.1921,0.1994,0.2049,0.2034
2025-10-30 00:00:00,0.1907,0.1980,0.2035,0.2020
2025-10-31 00:00:00,0.1899,0.1972,0.2027,0.2012
2025-11-03 00:00:00,0.1908,0.1981,0.2036,0.2021
2025-11-04 00:00:00,0.1919,0.1992,0.2047,0.2032
2025-11-05 00:00:00,0.1922,0.1995,0.2050,0.2035
2025-11-06 00:00:00,0.1920,0.1993,0.2048,0.2033
2025-11-07 00:00:00,0.1931,0.2004,0.2059,0.2044
2025-11-10 00:00:00,0.1919,0.1992,0.2047,0.2032
2025-11-11 00:00:00,0.1920,0.1993,0.2048,0.2033
2025-11-12 00:00:00,0.1915,0.1988,0.2043,0.2028
2025-11-13 00:00:00,0.1915,0.1988,0.2043,0.2028
2025-11-14 00:00:00,0.1921,0.1994,0.2049,0.2034
2025-11-17 00:00:00,0.1921,0.1994,0.2049,0.2034
2025-11-18 00:00:00,0.1919,0.1992,0.2047,0.2032
2025-11-19 00:00:00,0.1917,0.1990,0.2045,0.2030
2025-11-20 00:00:00,0.1895,0.1968,0.2023,0.2008
2025-11-21 00:00:00,0.1912,0.1985,0.2040,0.2025
2025-11-24 00:00:00,0.1912,0.1985,0.2040,0.2025
2025-11-25 00:00:00,0.1915,0.1988,0.2043,0.2028
2025-11-26 00:00:00,0.1911,0.1984,0.2039,0.2024
2025-11-27 00:00:00,0.1914,0.1987,0.2042,0.2027
2025-11-28 00:00:00,0.1916,0.1989,0.2044,0.2029
2025-12-01 00:00:00,0.1930,0.2003,0.2058,0.2043
2025-12-02 00:00:00,0.1924,0.1997,0.2052,0.2037
2025-12-03 00:00:00,0.1919,0.1992,0.2047,0.2032
2025-12-04 00:00:00,0.1927,0.2000,0.2055,0.2040
2025-12-05 00:00:00,0.1928,0.2001,0.2056,0.2041
2025-12-08 00:00:00,0.1915,0.1988,0.2043,0.2028
2025-12-09 00:00:00,0.1905,0.1978,0.2033,0.2018
2025-12-10 00:00:00,0.1899,0.1972,0.2027,0.2012
2025-12-11 00:00:00,0.1910,0.1983,0.2038,0.2023
2025-12-12 00:00:00,0.1909,0.1982,0.2037,0.2022
2025-12-15 00:00:00,0.1929,0.2002,0.2057,0.2042
2025-12-16 00:00:00,0.1939,0.2012,0.2067,0.2052
2025-12-17 00:00:00,0.1935,0.2008,0.2063,0.2048
2025-12-18 00:00:00,0.1929,0.2002,0.2057,0.2042
2025-12-19 00:00:00,0.1918,0.1991,0.2046,0.2031
2025-12-22 00:00:00,0.1910,0.1983,0.2038,0.2023
2025-12-23 00:00:00,0.1927,0.2000,0.2055,0.2040
2025-12-24 00:00:00,0.1928,0.2001,0.2056,0.2041
2025-12-26 00:00:00,0.1918,0.1991,0.2046,0.2031
2025-12-29 00:00:00,0.1921,0.1994,0.2049,0.2034
2025-12-30 00:00:00,0.1920,0.1993,0.2048,0.2033
2025-12-31 00:00:00,0.1915,0.1988,0.2043,0.2028
2026-01-02 00:00:00,0.1910,0.1983,0.2038,0.2023
2026-01-05 00:00:00,0.1916,0.1989,0.2044,0.2029
2026-01-06 00:00:00,0.1924,0.1997,0.2052,0.2037
2026-01-07 00:00:00,0.1921,0.1994,0.2049,0.2034
2026-01-08 00:00:00,0.1925,0.1998,0.2053,0.2038
2026-01-09 00:00:00,0.1914,0.1987,0.2042,0.2027
2026-01-12 00:00:00,0.1912,0.1985,0.2040,0.2025
2026-01-13 00:00:00,0.1899,0.1972,0.2027,0.2012
2026-01-14 00:00:00,0.1895,0.1968,0.2023,0.2008
2026-01-15 00:00:00,0.1898,0.1971,0.2026,0.2011
2026-01-16 00:00:00,0.1903,0.1976,0.2031,0.2016
2026-01-19 00:00:00,0.1906,0.1979,0.2034,0.2019
2026-01-20 00:00:00,0.1904,0.1977,0.2032,0.2017
2026-01-21 00:00:00,0.1911,0.1984,0.2039,0.2024
2026-01-22 00:00:00,0.1898,0.1971,0.2026,0.2011
2026-01-23 00:00:00,0.1900,0.1973,0.2028,0.2013
2026-01-26 00:00:00,0.1949,0.2022,0.2077,0.2062
2026-01-27 00:00:00,0.1939,0.2012,0.2067,0.2052
2026-01-28 00:00:00,0.1958,0.2031,0.2086,0.2071
2026-01-29 00:00:00,0.1950,0.2023,0.2078,0.2063
2026-01-30 00:00:00,0.1954,0.2027,0.2082,0.2067
2026-02-02 00:00:00,0.1948,0.2021,0.2076,0.2061
2026-02-03 00:00:00,0.1938,0.2011,0.2066,0.2051
2026-02-04 00:00:00,0.1926,0.1999,0.2054,0.2039
2026-02-05 00:00:00,0.1922,0.1995,0.2050,0.2035
2026-02-06 00:00:00,0.1927,0.2000,0.2055,0.2040
2026-02-09 00:00:00,0.1921,0.1994,0.2049,0.2034
2026-02-10 00:00:00,0.1936,0.2009,0.2064,0.2049
2026-02-11 00:00:00,0.1962,0.2035,0.2090,0.2075
2026-02-12 00:00:00,0.1963,0.2036,0.2091,0.2076
2026-02-13 00:00:00,0.1961,0.2034,0.2089,0.2074
2026-02-23 00:00:00,0.1943,0.2016,0.2071,0.2056
2026-02-24 00:00:00,0.1922,0.1995,0.2050,0.2035
2026-02-25 00:00:00,0.1915,0.1988,0.2043,0.2028
2026-02-26 00:00:00,0.1908,0.1981,0.2036,0.2021
2026-03-02 00:00:00,0.1911,0.1984,0.2039,0.2024
2026-03-03 00:00:00,0.1916,0.1989,0.2044,0.2029
2026-03-04 00:00:00,0.1921,0.1994,0.2049,0.2034
