Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
2025/01/02 00:00:00,4.392,4.464,4.554,4.514
2025/01/03 00:00:00,4.382,4.454,4.544,4.504
2025/01/06 00:00:00,4.371,4.443,4.533,4.493
2025/01/07 00:00:00,4.364,4.436,4.526,4.486
2025/01/08 00:00:00,4.378,4.45,4.54,4.5
2025/01/09 00:00:00,4.382,4.454,4.544,4.504
2025/01/10 00:00:00,4.386,4.458,4.548,4.508
2025/01/13 00:00:00,4.407,4.479,4.569,4.529
2025/01/14 00:00:00,4.389,4.461,4.551,4.511
2025/01/15 00:00:00,4.404,4.476,4.566,4.526
2025/01/16 00:00:00,4.384,4.456,4.546,4.506
2025/01/17 00:00:00,4.386,4.458,4.548,4.508
2025/01/20 00:00:00,4.38,4.452,4.542,4.502
2025/01/21 00:00:00,4.404,4.476,4.566,4.526
2025/01/22 00:00:00,4.401,4.473,4.563,4.523
2025/01/23 00:00:00,4.397,4.469,4.559,4.519
2025/01/24 00:00:00,4.409,4.481,4.571,4.531
2025/02/03 00:00:00,4.39,4.462,4.552,4.512
2025/02/04 00:00:00,4.415,4.487,4.577,4.537
2025/02/05 00:00:00,4.417,4.489,4.579,4.539
2025/02/06 00:00:00,4.406,4.478,4.568,4.528
2025/02/07 00:00:00,4.395,4.467,4.557,4.517
2025/02/08 00:00:00,4.392,4.464,4.554,4.514
2025/02/10 00:00:00,4.393,4.465,4.555,4.515
2025/02/11 00:00:00,4.396,4.468,4.558,4.518
2025/02/12 00:00:00,4.395,4.467,4.557,4.517
2025/02/13 00:00:00,4.4,4.472,4.562,4.522
2025/02/14 00:00:00,4.411,4.483,4.573,4.533
2025/02/17 00:00:00,4.41,4.482,4.572,4.532
2025/02/18 00:00:00,4.401,4.473,4.563,4.523
2025/02/19 00:00:00,4.396,4.468,4.558,4.518
2025/02/20 00:00:00,4.414,4.486,4.576,4.536
2025/02/21 00:00:00,4.421,4.493,4.583,4.543
2025/02/24 00:00:00,4.417,4.489,4.579,4.539
2025/02/25 00:00:00,4.416,4.488,4.578,4.538
2025/02/26 00:00:00,4.42,4.492,4.582,4.542
2025/02/27 00:00:00,4.415,4.487,4.577,4.537
2025/03/03 00:00:00,4.411,4.483,4.573,4.533
2025/03/04 00:00:00,4.418,4.49,4.58,4.54
2025/03/05 00:00:00,4.424,4.496,4.586,4.546
2025/03/06 00:00:00,4.438,4.51,4.6,4.56
2025/03/07 00:00:00,4.435,4.507,4.597,4.557
2025/03/10 00:00:00,4.432,4.504,4.594,4.554
2025/03/11 00:00:00,4.45,4.522,4.612,4.572
2025/03/12 00:00:00,4.451,4.523,4.613,4.573
2025/03/13 00:00:00,4.454,4.526,4.616,4.576
2025/03/14 00:00:00,4.457,4.529,4.619,4.579
2025/03/17 00:00:00,4.461,4.533,4.623,4.583
2025/03/18 00:00:00,4.469,4.541,4.631,4.591
2025/03/19 00:00:00,4.467,4.539,4.629,4.589
2025/03/20 00:00:00,4.461,4.533,4.623,4.583
2025/03/21 00:00:00,4.453,4.525,4.615,4.575
2025/03/24 00:00:00,4.455,4.527,4.617,4.577
2025/03/25 00:00:00,4.453,4.525,4.615,4.575
2025/03/26 00:00:00,4.453,4.525,4.615,4.575
2025/03/27 00:00:00,4.455,4.527,4.617,4.577
2025/03/28 00:00:00,4.455,4.527,4.617,4.577
2025/03/31 00:00:00,4.476,4.548,4.638,4.598
2025/04/01 00:00:00,4.463,4.535,4.625,4.585
2025/04/02 00:00:00,4.448,4.52,4.61,4.57
2025/04/04 00:00:00,4.529,4.5185,4.589,4.5696
2025/04/07 00:00:00,4.501,4.4985,4.551,4.5505
2025/04/08 00:00:00,4.469,4.4675,4.519,4.5186
2025/04/09 00:00:00,4.455,4.453,4.505,4.5042
2025/04/10 00:00:00,4.447,4.4457,4.497,4.4966
2025/04/11 00:00:00,4.453,4.4519,4.503,4.5029
2025/04/14 00:00:00,4.422,4.4216,4.472,4.4724
2025/04/15 00:00:00,4.413,4.4127,4.463,4.4633
2025/04/16 00:00:00,4.411,4.4103,4.461,4.4611
2025/04/17 00:00:00,4.424,4.4239,4.474,4.4745
2025/04/18 00:00:00,4.44,4.4396,4.49,4.4907
2025/04/21 00:00:00,4.435,4.435,4.485,4.4854
2025/04/22 00:00:00,4.419,4.4183,4.469,4.4691
2025/04/23 00:00:00,4.427,4.4262,4.477,4.4772
2025/04/24 00:00:00,4.43,4.4294,4.48,4.4802
2025/04/25 00:00:00,4.431,4.43,4.481,4.4814
2025/04/28 00:00:00,4.426,4.4254,4.476,4.4762
2025/04/29 00:00:00,4.414,4.4129,4.464,4.4639
2025/04/30 00:00:00,4.386,4.3854,4.436,4.4365
2025/05/01 00:00:00,4.364,4.3774,4.424,4.4285
2025/05/02 00:00:00,4.277,4.2757,4.327,4.3275
2025/05/05 00:00:00,4.13,4.1278,4.18,4.1804
2025/05/06 00:00:00,4.157,4.1561,4.207,4.2073
2025/05/07 00:00:00,4.161,4.1606,4.211,4.2115
2025/05/08 00:00:00,4.156,4.1553,4.206,4.2064
2025/05/09 00:00:00,4.157,4.1563,4.207,4.2074
2025/05/12 00:00:00,4.164,4.1633,4.214,4.2141
2025/05/13 00:00:00,4.203,4.2025,4.253,4.2531
2025/05/14 00:00:00,4.175,4.1743,4.225,4.2253
2025/05/15 00:00:00,4.158,4.1575,4.208,4.2081
2025/05/16 00:00:00,4.162,4.1609,4.212,4.2127
2025/05/19 00:00:00,4.161,4.1602,4.211,4.2113
2025/05/20 00:00:00,4.156,4.1553,4.206,4.2063
2025/05/21 00:00:00,4.158,4.1571,4.208,4.2083
2025/05/22 00:00:00,4.142,4.1414,4.192,4.1922
2025/05/23 00:00:00,4.143,4.1423,4.193,4.1932
2025/05/26 00:00:00,4.143,4.1422,4.193,4.1933
2025/05/27 00:00:00,4.132,4.1314,4.182,4.1821
2025/05/28 00:00:00,4.134,4.1336,4.184,4.1843
2025/05/29 00:00:00,4.14,4.1396,4.19,4.1902
2025/05/30 00:00:00,4.131,4.1336,4.191,4.1842
2025/06/02 00:00:00,4.132,4.1308,4.182,4.1822
2025/06/03 00:00:00,4.142,4.1412,4.192,4.1921
2025/06/04 00:00:00,4.144,4.1435,4.194,4.1941
2025/06/05 00:00:00,4.14,4.139,4.19,4.1903
2025/06/06 00:00:00,4.138,4.1372,4.188,4.1882
2025/06/09 00:00:00,4.143,4.1424,4.193,4.1934
2025/06/10 00:00:00,4.136,4.1355,4.186,4.1859
2025/06/11 00:00:00,4.135,4.1347,4.185,4.1852
2025/06/12 00:00:00,4.111,4.1102,4.161,4.1613
2025/06/13 00:00:00,4.094,4.0932,4.144,4.1446
2025/06/13 12:42:30,4.098,4.1002,4.158,4.1516
2025/06/13 12:45:51,4.096,4.1002,4.156,4.1516
2025/06/13 12:46:18,4.096,4.1002,4.156,4.1516
2025/06/13 12:46:32,4.096,4.1002,4.156,4.1516
2025/06/13 12:47:42,4.096,4.1002,4.156,4.1516
2025/06/13 12:48:31,4.096,4.1002,4.156,4.1516
2025/06/13 12:48:58,4.096,4.1002,4.156,4.1516
2025/06/13 12:49:39,4.096,4.1002,4.156,4.1516
2025/06/13 12:50:20,4.096,4.1002,4.156,4.1516
2025/06/13 12:52:22,4.096,4.1002,4.156,4.1516
2025/06/13 12:53:38,4.096,4.1002,4.156,4.1516
2025/06/13 12:59:19,4.096,4.1002,4.156,4.1516
2025/06/13 13:00:05,4.096,4.1002,4.156,4.1516
2025/06/16 08:00:10,4.096,4.0953,4.146,4.1464
2025/06/16 13:00:06,4.08,4.0823,4.14,4.1334
2025/06/17 08:00:13,4.083,4.0823,4.133,4.1334
2025/06/17 13:00:08,4.078,4.0813,4.138,4.1324
2025/06/18 08:00:10,4.083,4.0827,4.133,4.1332
2025/06/18 13:00:11,4.079,4.0817,4.139,4.1322
2025/06/19 08:00:10,4.088,4.0874,4.138,4.1381
2025/06/19 13:00:22,4.092,4.0904,4.152,4.1411
2025/06/20 08:00:11,4.086,4.0852,4.136,4.1363
2025/06/20 13:00:09,4.082,4.0822,4.142,4.1333
2025/06/23 08:00:12,4.103,4.1021,4.153,4.1533
2025/06/23 13:00:10,4.106,4.1111,4.166,4.1623
2025/06/24 08:00:10,4.091,4.09,4.141,4.1415
2025/06/24 13:00:11,4.087,4.088,4.147,4.1395
2025/06/25 08:00:10,4.084,4.083,4.134,4.1342
2025/06/25 13:00:08,4.068,4.07,4.128,4.1212
2025/06/26 08:00:09,4.05,4.0493,4.1,4.1
2025/06/26 13:00:08,4.036,4.0413,4.096,4.092
2025/06/27 08:00:10,4.018,4.0175,4.068,4.0684
2025/06/27 13:00:06,4.037,4.0425,4.097,4.0934
2025/06/30 08:00:09,4.05,4.0495,4.1,4.1004
2025/06/30 13:00:12,4.061,4.065,4.121,4.1167
2025/07/01 08:00:10,4.053,4.0524,4.103,4.1032
2025/07/01 13:00:07,4.044,4.0464,4.104,4.0972
2025/07/02 08:00:10,4.031,4.0302,4.081,4.0815
2025/07/02 13:00:09,4.019,4.0212,4.079,4.0725
2025/07/03 08:00:13,4.007,4.0065,4.057,4.0572
2025/07/03 13:00:12,3.997,3.9985,4.057,4.0492
2025/07/04 08:00:10,4.003,4.0022,4.053,4.0533
2025/07/04 13:00:10,4.009,4.0122,4.069,4.0633
2025/07/07 08:00:11,4.021,4.0202,4.071,4.0714
2025/07/07 13:00:07,4.018,4.0202,4.078,4.0714
2025/07/08 08:00:10,4.022,4.0214,4.072,4.0723
2025/07/08 13:00:08,4.021,4.0264,4.081,4.0773
2025/07/09 08:00:11,4.025,4.0246,4.075,4.0752
2025/07/09 13:00:08,4.029,4.0306,4.089,4.0812
2025/07/10 08:00:10,4.044,4.0436,4.094,4.0942
2025/07/10 13:00:08,4.045,4.0466,4.105,4.0971
2025/07/11 08:00:10,4.052,4.0514,4.102,4.1023
2025/07/11 13:00:09,4.046,4.0464,4.106,4.0973
2025/07/14 08:00:11,4.049,4.0482,4.099,4.0993
2025/07/14 13:00:08,4.058,4.0592,4.118,4.1103
2025/07/15 08:00:10,4.062,4.0612,4.112,4.1122
2025/07/15 13:00:08,4.053,4.0532,4.113,4.1042
2025/07/16 08:00:11,4.063,4.0621,4.113,4.1132
2025/07/16 13:00:08,4.068,4.0691,4.128,4.1202
2025/07/17 08:00:09,4.072,4.0714,4.122,4.1219
2025/07/17 13:00:07,4.065,4.0674,4.125,4.1179
2025/07/18 08:00:11,4.067,4.0661,4.117,4.1172
2025/07/18 13:00:10,4.065,4.0671,4.125,4.1182
2025/07/21 08:00:11,4.071,4.0704,4.121,4.1211
2025/07/21 13:00:09,4.07,4.0724,4.13,4.1231
2025/07/22 08:00:10,4.071,4.0704,4.121,4.1213
2025/07/22 13:00:08,4.073,4.0754,4.133,4.1263
2025/07/23 08:00:10,4.069,4.0681,4.119,4.1193
2025/07/23 13:00:10,4.071,4.0721,4.131,4.1233
2025/07/24 08:00:09,4.074,4.0732,4.124,4.1243
2025/07/24 13:00:09,4.081,4.0852,4.141,4.1363
2025/07/25 08:00:09,4.082,4.0813,4.132,4.1322
