Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
2025/01/02 00:00:00,33.27,33.89,34.61,34.29
2025/01/03 00:00:00,33.04,33.66,34.38,34.06
2025/01/06 00:00:00,33.13,33.75,34.47,34.15
2025/01/07 00:00:00,33.27,33.89,34.61,34.29
2025/01/08 00:00:00,33.17,33.79,34.51,34.19
2025/01/09 00:00:00,33.09,33.71,34.43,34.11
2025/01/10 00:00:00,33.12,33.74,34.46,34.14
2025/01/13 00:00:00,33.02,33.64,34.36,34.04
2025/01/14 00:00:00,33.0,33.62,34.34,34.02
2025/01/15 00:00:00,33.26,33.88,34.6,34.28
2025/01/16 00:00:00,33.09,33.71,34.43,34.11
2025/01/17 00:00:00,33.06,33.68,34.4,34.08
2025/01/20 00:00:00,33.02,33.64,34.36,34.04
2025/01/21 00:00:00,33.18,33.8,34.52,34.2
2025/01/22 00:00:00,33.32,33.94,34.66,34.34
2025/01/23 00:00:00,33.26,33.88,34.6,34.28
2025/01/24 00:00:00,33.37,33.99,34.71,34.39
2025/02/03 00:00:00,32.88,33.5,34.22,33.9
2025/02/04 00:00:00,33.2,33.82,34.54,34.22
2025/02/05 00:00:00,33.37,33.99,34.71,34.39
2025/02/06 00:00:00,33.26,33.88,34.6,34.28
2025/02/07 00:00:00,33.21,33.83,34.55,34.23
2025/02/08 00:00:00,33.05,33.67,34.39,34.07
2025/02/10 00:00:00,33.06,33.68,34.4,34.08
2025/02/11 00:00:00,33.02,33.64,34.36,34.04
2025/02/12 00:00:00,33.28,33.9,34.62,34.3
2025/02/13 00:00:00,33.38,34.0,34.72,34.4
2025/02/14 00:00:00,33.5,34.12,34.84,34.52
2025/02/17 00:00:00,33.47,34.09,34.81,34.49
2025/02/18 00:00:00,33.48,34.1,34.82,34.5
2025/02/19 00:00:00,33.41,34.03,34.75,34.43
2025/02/20 00:00:00,33.4,34.02,34.74,34.42
2025/02/21 00:00:00,33.55,34.17,34.89,34.57
2025/02/24 00:00:00,33.5,34.12,34.84,34.52
2025/02/25 00:00:00,33.49,34.11,34.83,34.51
2025/02/26 00:00:00,33.6,34.22,34.94,34.62
2025/02/27 00:00:00,33.56,34.18,34.9,34.58
2025/03/03 00:00:00,33.44,34.06,34.78,34.46
2025/03/04 00:00:00,33.72,34.34,35.06,34.74
2025/03/05 00:00:00,34.21,34.83,35.55,35.23
2025/03/06 00:00:00,34.66,35.28,36.0,35.68
2025/03/07 00:00:00,34.75,35.37,36.09,35.77
2025/03/10 00:00:00,34.81,35.43,36.15,35.83
2025/03/11 00:00:00,35.0,35.62,36.34,36.02
2025/03/12 00:00:00,35.11,35.73,36.45,36.13
2025/03/13 00:00:00,35.02,35.64,36.36,36.04
2025/03/14 00:00:00,34.91,35.53,36.25,35.93
2025/03/17 00:00:00,35.09,35.71,36.43,36.11
2025/03/18 00:00:00,35.28,35.9,36.62,36.3
2025/03/19 00:00:00,35.19,35.81,36.53,36.21
2025/03/20 00:00:00,35.11,35.73,36.45,36.13
2025/03/21 00:00:00,34.97,35.59,36.31,35.99
2025/03/24 00:00:00,35.01,35.63,36.35,36.03
2025/03/25 00:00:00,34.87,35.49,36.21,35.89
2025/03/26 00:00:00,34.89,35.51,36.23,35.91
2025/03/27 00:00:00,34.82,35.44,36.16,35.84
2025/03/28 00:00:00,34.9,35.52,36.24,35.92
2025/03/31 00:00:00,35.15,35.77,36.49,36.17
2025/04/01 00:00:00,35.05,35.67,36.39,36.07
2025/04/02 00:00:00,34.89,35.51,36.23,35.91
2025/04/04 00:00:00,36.025,35.496,36.625,35.904
2025/04/07 00:00:00,36.24,36.221,36.64,36.636
2025/04/08 00:00:00,35.98,35.964,36.38,36.374
2025/04/09 00:00:00,36.36,36.345,36.76,36.753
2025/04/10 00:00:00,35.95,35.936,36.35,36.345
2025/04/11 00:00:00,36.8,36.785,37.2,37.195
2025/04/14 00:00:00,36.81,36.796,37.21,37.205
2025/04/15 00:00:00,36.65,36.635,37.05,37.045
2025/04/16 00:00:00,36.74,36.724,37.14,37.132
2025/04/17 00:00:00,36.72,36.706,37.12,37.114
2025/04/18 00:00:00,36.89,36.874,37.29,37.286
2025/04/21 00:00:00,37.27,37.255,37.67,37.664
2025/04/22 00:00:00,37.3,37.285,37.7,37.691
2025/04/23 00:00:00,36.79,36.775,37.19,37.182
2025/04/24 00:00:00,36.67,36.656,37.07,37.065
2025/04/25 00:00:00,36.63,36.615,37.03,37.027
2025/04/28 00:00:00,36.75,36.737,37.15,37.147
2025/04/29 00:00:00,36.56,36.546,36.96,36.956
2025/04/30 00:00:00,36.27,36.257,36.67,36.666
2025/05/01 00:00:00,35.835,36.187,36.435,36.596
2025/05/02 00:00:00,35.12,35.118,35.52,35.52
2025/05/05 00:00:00,33.75,33.729,34.15,34.151
2025/05/06 00:00:00,33.96,33.945,34.36,34.356
2025/05/07 00:00:00,34.15,34.137,34.55,34.546
2025/05/08 00:00:00,34.02,34.006,34.42,34.416
2025/05/09 00:00:00,33.85,33.837,34.25,34.245
2025/05/12 00:00:00,33.75,33.737,34.15,34.145
2025/05/13 00:00:00,33.58,33.568,33.98,33.975
2025/05/14 00:00:00,33.69,33.677,34.09,34.086
2025/05/15 00:00:00,33.55,33.538,33.95,33.946
2025/05/16 00:00:00,33.61,33.596,34.01,34.009
2025/05/19 00:00:00,33.59,33.577,33.99,33.987
2025/05/20 00:00:00,33.77,33.758,34.17,34.166
2025/05/21 00:00:00,33.96,33.947,34.36,34.357
2025/05/22 00:00:00,33.82,33.808,34.22,34.217
2025/05/23 00:00:00,33.74,33.728,34.14,34.136
2025/05/26 00:00:00,33.91,33.897,34.31,34.308
2025/05/27 00:00:00,33.8,33.79,34.2,34.195
2025/05/28 00:00:00,33.64,33.63,34.04,34.038
2025/05/29 00:00:00,33.51,33.499,33.91,33.908
2025/05/30 00:00:00,33.635,33.509,34.235,33.918
2025/06/02 00:00:00,33.94,33.928,34.34,34.338
2025/06/03 00:00:00,34.06,34.049,34.46,34.457
2025/06/04 00:00:00,33.9,33.889,34.3,34.298
2025/06/05 00:00:00,33.93,33.919,34.33,34.33
2025/06/06 00:00:00,33.99,33.98,34.39,34.389
2025/06/09 00:00:00,34.02,34.011,34.42,34.419
2025/06/10 00:00:00,33.96,33.951,34.36,34.359
2025/06/11 00:00:00,33.96,33.951,34.36,34.359
2025/06/12 00:00:00,34.05,34.038,34.45,34.451
2025/06/13 00:00:00,33.91,33.898,34.31,34.313
2025/06/13 12:42:30,33.855,33.988,34.455,34.403
2025/06/13 12:45:51,33.835,33.988,34.435,34.403
2025/06/13 12:46:18,33.835,33.988,34.435,34.403
2025/06/13 12:46:32,33.835,33.988,34.435,34.403
2025/06/13 12:47:42,33.835,33.988,34.435,34.403
2025/06/13 12:48:31,33.835,33.988,34.435,34.403
2025/06/13 12:48:58,33.835,33.988,34.435,34.403
2025/06/13 12:49:39,33.835,33.988,34.435,34.403
2025/06/13 12:50:20,33.835,33.988,34.435,34.403
2025/06/13 12:52:22,33.835,33.988,34.435,34.403
2025/06/13 12:53:38,33.835,33.988,34.435,34.403
2025/06/13 12:59:19,33.835,33.988,34.435,34.403
2025/06/13 13:00:05,33.835,33.988,34.435,34.403
2025/06/16 08:00:10,34.03,34.02,34.43,34.431
2025/06/16 13:00:06,33.875,33.95,34.475,34.361
2025/06/17 08:00:13,33.9,33.89,34.3,34.3
2025/06/17 13:00:08,33.835,33.89,34.435,34.3
2025/06/18 08:00:10,33.78,33.771,34.18,34.18
2025/06/18 13:00:11,33.675,33.791,34.275,34.2
2025/06/19 08:00:10,33.71,33.701,34.11,34.11
2025/06/19 13:00:22,33.705,33.731,34.305,34.14
2025/06/20 08:00:11,33.85,33.84,34.25,34.251
2025/06/20 13:00:09,33.745,33.8,34.345,34.211
2025/06/23 08:00:12,33.95,33.94,34.35,34.349
2025/06/23 13:00:10,33.815,33.98,34.415,34.389
2025/06/24 08:00:10,34.11,34.099,34.51,34.51
2025/06/24 13:00:10,33.955,34.009,34.555,34.42
2025/06/25 08:00:10,34.03,34.02,34.43,34.43
2025/06/25 13:00:08,33.805,33.86,34.405,34.27
2025/06/26 08:00:09,33.9,33.891,34.3,34.3
2025/06/26 13:00:08,33.875,33.921,34.475,34.33
2025/06/27 08:00:10,33.69,33.681,34.09,34.09
2025/06/27 13:00:06,33.835,33.951,34.435,34.36
2025/06/30 08:00:09,34.02,34.011,34.42,34.42
2025/06/30 13:00:12,34.035,34.139,34.635,34.553
2025/07/01 08:00:10,34.22,34.21,34.62,34.62
2025/07/01 13:00:07,34.155,34.14,34.755,34.55
2025/07/02 08:00:10,34.06,34.049,34.46,34.461
