Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
2025/01/02 00:00:00,32.48,32.83,33.15,32.93
2025/01/03 00:00:00,32.515,32.865,33.185,32.965
2025/01/06 00:00:00,32.465,32.815,33.135,32.915
2025/01/07 00:00:00,32.335,32.685,33.005,32.785
2025/01/08 00:00:00,32.49,32.84,33.16,32.94
2025/01/09 00:00:00,32.55,32.9,33.22,33.0
2025/01/10 00:00:00,32.565,32.915,33.235,33.015
2025/01/13 00:00:00,32.72,33.07,33.39,33.17
2025/01/14 00:00:00,32.57,32.92,33.24,33.02
2025/01/15 00:00:00,32.665,33.015,33.335,33.115
2025/01/16 00:00:00,32.53,32.88,33.2,32.98
2025/01/17 00:00:00,32.53,32.88,33.2,32.98
2025/01/20 00:00:00,32.405,32.755,33.075,32.855
2025/01/21 00:00:00,32.38,32.73,33.05,32.83
2025/01/22 00:00:00,32.375,32.725,33.045,32.825
2025/01/23 00:00:00,32.37,32.72,33.04,32.82
2025/01/24 00:00:00,32.285,32.635,32.955,32.735
2025/02/03 00:00:00,32.57,32.92,33.24,33.02
2025/02/04 00:00:00,32.585,32.935,33.255,33.035
2025/02/05 00:00:00,32.45,32.8,33.12,32.9
2025/02/06 00:00:00,32.43,32.78,33.1,32.88
2025/02/07 00:00:00,32.355,32.705,33.025,32.805
2025/02/08 00:00:00,32.39,32.74,33.06,32.84
2025/02/10 00:00:00,32.445,32.795,33.115,32.895
2025/02/11 00:00:00,32.445,32.795,33.115,32.895
2025/02/12 00:00:00,32.46,32.81,33.13,32.91
2025/02/13 00:00:00,32.41,32.76,33.08,32.86
2025/02/14 00:00:00,32.385,32.735,33.055,32.835
2025/02/17 00:00:00,32.305,32.655,32.975,32.755
2025/02/18 00:00:00,32.37,32.72,33.04,32.82
2025/02/19 00:00:00,32.35,32.7,33.02,32.8
2025/02/20 00:00:00,32.395,32.745,33.065,32.845
2025/02/21 00:00:00,32.35,32.7,33.02,32.8
2025/02/24 00:00:00,32.315,32.665,32.985,32.765
2025/02/25 00:00:00,32.405,32.755,33.075,32.855
2025/02/26 00:00:00,32.395,32.745,33.065,32.845
2025/02/27 00:00:00,32.42,32.77,33.09,32.87
2025/03/03 00:00:00,32.525,32.875,33.195,32.975
2025/03/04 00:00:00,32.515,32.865,33.185,32.965
2025/03/05 00:00:00,32.425,32.775,33.095,32.875
2025/03/06 00:00:00,32.455,32.805,33.125,32.905
2025/03/07 00:00:00,32.44,32.79,33.11,32.89
2025/03/10 00:00:00,32.52,32.87,33.19,32.97
2025/03/11 00:00:00,32.49,32.84,33.16,32.94
2025/03/12 00:00:00,32.56,32.91,33.23,33.01
2025/03/13 00:00:00,32.57,32.92,33.24,33.02
2025/03/14 00:00:00,32.56,32.91,33.23,33.01
2025/03/17 00:00:00,32.615,32.965,33.285,33.065
2025/03/18 00:00:00,32.6,32.95,33.27,33.05
2025/03/19 00:00:00,32.645,32.995,33.315,33.095
2025/03/20 00:00:00,32.61,32.96,33.28,33.06
2025/03/21 00:00:00,32.6,32.95,33.27,33.05
2025/03/24 00:00:00,32.635,32.985,33.305,33.085
2025/03/25 00:00:00,32.68,33.03,33.35,33.13
2025/03/26 00:00:00,32.695,33.045,33.365,33.145
2025/03/27 00:00:00,32.71,33.06,33.38,33.16
2025/03/28 00:00:00,32.7,33.05,33.37,33.15
2025/03/31 00:00:00,32.805,33.155,33.475,33.255
2025/04/01 00:00:00,32.8,33.15,33.47,33.25
2025/04/02 00:00:00,32.69,33.04,33.36,33.14
2025/04/04 00:00:00,33.01,33.017,33.16,33.123
2025/04/07 00:00:00,33.07,33.042,33.17,33.152
2025/04/08 00:00:00,32.95,32.923,33.05,33.031
2025/04/09 00:00:00,33.02,32.994,33.12,33.103
2025/04/10 00:00:00,32.835,32.812,32.935,32.919
2025/04/11 00:00:00,32.75,32.726,32.85,32.834
2025/04/14 00:00:00,32.46,32.436,32.56,32.544
2025/04/15 00:00:00,32.41,32.387,32.51,32.493
2025/04/16 00:00:00,32.465,32.442,32.565,32.548
2025/04/17 00:00:00,32.48,32.457,32.58,32.563
2025/04/18 00:00:00,32.555,32.53,32.655,32.637
2025/04/21 00:00:00,32.44,32.415,32.54,32.522
2025/04/22 00:00:00,32.445,32.417,32.545,32.525
2025/04/23 00:00:00,32.45,32.426,32.55,32.532
2025/04/24 00:00:00,32.47,32.446,32.57,32.552
2025/04/25 00:00:00,32.435,32.411,32.535,32.517
2025/04/28 00:00:00,32.435,32.411,32.535,32.517
2025/04/29 00:00:00,32.23,32.207,32.33,32.313
2025/04/30 00:00:00,31.99,31.967,32.09,32.074
2025/05/01 00:00:00,31.905,31.917,32.055,32.024
2025/05/02 00:00:00,31.17,31.146,31.27,31.253
2025/05/05 00:00:00,29.885,29.861,29.985,29.969
2025/05/06 00:00:00,30.13,30.107,30.23,30.215
2025/05/07 00:00:00,30.19,30.167,30.29,30.275
2025/05/08 00:00:00,30.21,30.187,30.31,30.294
2025/05/09 00:00:00,30.26,30.238,30.36,30.344
2025/05/12 00:00:00,30.2,30.178,30.3,30.284
2025/05/13 00:00:00,30.35,30.328,30.45,30.435
2025/05/14 00:00:00,30.235,30.212,30.335,30.319
2025/05/15 00:00:00,30.11,30.085,30.21,30.192
2025/05/16 00:00:00,30.085,30.063,30.185,30.17
2025/05/19 00:00:00,30.155,30.133,30.255,30.24
2025/05/20 00:00:00,30.13,30.108,30.23,30.214
2025/05/21 00:00:00,30.095,30.064,30.195,30.172
2025/05/22 00:00:00,29.965,29.943,30.065,30.05
2025/05/23 00:00:00,29.955,29.934,30.055,30.039
2025/05/26 00:00:00,29.82,29.798,29.92,29.904
2025/05/27 00:00:00,29.825,29.804,29.925,29.91
2025/05/28 00:00:00,29.88,29.858,29.98,29.965
2025/05/29 00:00:00,29.94,29.917,30.04,30.024
2025/05/30 00:00:00,29.825,29.832,29.975,29.939
2025/06/02 00:00:00,29.95,29.929,30.05,30.035
2025/06/03 00:00:00,29.94,29.919,30.04,30.025
2025/06/04 00:00:00,29.94,29.919,30.04,30.025
2025/06/05 00:00:00,29.86,29.84,29.96,29.945
2025/06/06 00:00:00,29.85,29.829,29.95,29.935
2025/06/09 00:00:00,29.91,29.889,30.01,29.995
2025/06/10 00:00:00,29.885,29.862,29.985,29.968
2025/06/11 00:00:00,29.85,29.829,29.95,29.935
2025/06/12 00:00:00,29.66,29.639,29.76,29.746
2025/06/13 00:00:00,29.56,29.539,29.66,29.646
2025/06/13 12:42:30,29.565,29.569,29.715,29.676
2025/06/13 12:45:51,29.565,29.569,29.715,29.676
2025/06/13 12:46:18,29.565,29.569,29.715,29.676
2025/06/13 12:46:32,29.565,29.569,29.715,29.676
2025/06/13 12:47:42,29.565,29.569,29.715,29.676
2025/06/13 12:48:31,29.565,29.569,29.715,29.676
2025/06/13 12:48:58,29.565,29.569,29.715,29.676
2025/06/13 12:49:39,29.565,29.569,29.715,29.676
2025/06/13 12:50:20,29.565,29.569,29.715,29.676
2025/06/13 12:55:03,29.565,29.569,29.715,29.676
2025/06/13 12:59:19,29.565,29.569,29.715,29.676
2025/06/13 13:00:05,29.565,29.569,29.715,29.676
2025/06/16 08:00:10,29.56,29.539,29.66,29.647
2025/06/16 13:00:06,29.425,29.429,29.575,29.537
2025/06/17 08:00:13,29.455,29.435,29.555,29.541
2025/06/17 13:00:08,29.43,29.435,29.58,29.541
2025/06/18 08:00:10,29.485,29.465,29.585,29.571
2025/06/18 13:00:11,29.45,29.455,29.6,29.561
2025/06/19 08:00:10,29.54,29.52,29.64,29.626
2025/06/19 13:00:22,29.545,29.54,29.695,29.646
2025/06/20 08:00:11,29.48,29.46,29.58,29.566
2025/06/20 13:00:09,29.445,29.45,29.595,29.556
2025/06/23 08:00:12,29.615,29.595,29.715,29.701
2025/06/23 13:00:10,29.655,29.66,29.805,29.766
2025/06/24 08:00:10,29.495,29.475,29.595,29.58
2025/06/24 13:00:10,29.45,29.455,29.6,29.56
2025/06/25 08:00:10,29.41,29.383,29.51,29.489
2025/06/25 13:00:08,29.3,29.298,29.45,29.404
2025/06/26 08:00:09,29.14,29.12,29.24,29.225
2025/06/26 13:00:08,29.065,29.07,29.215,29.175
2025/06/27 08:00:10,28.93,28.911,29.03,29.016
2025/06/27 13:00:06,29.08,29.086,29.23,29.191
2025/06/30 08:00:09,29.13,29.11,29.23,29.217
2025/06/30 13:00:12,29.215,29.23,29.365,29.337
2025/07/01 08:00:10,29.15,29.13,29.25,29.237
2025/07/01 13:00:07,29.08,29.085,29.23,29.192
2025/07/02 08:00:10,29.015,28.992,29.115,29.098
2025/07/02 13:00:09,28.925,28.927,29.075,29.033
2025/07/03 08:00:13,28.835,28.814,28.935,28.921
2025/07/03 13:00:12,28.735,28.739,28.885,28.846
2025/07/04 08:00:10,28.8,28.779,28.9,28.886
2025/07/04 13:00:10,28.85,28.854,29.0,28.961
2025/07/07 08:00:11,28.97,28.95,29.07,29.056
2025/07/07 13:00:07,28.965,28.96,29.115,29.066
2025/07/08 08:00:10,28.985,28.965,29.085,29.071
2025/07/08 13:00:08,28.99,28.995,29.14,29.101
2025/07/09 08:00:11,29.05,29.03,29.15,29.136
2025/07/09 13:00:08,29.075,29.08,29.225,29.186
2025/07/10 08:00:10,29.17,29.15,29.27,29.256
2025/07/10 13:00:08,29.16,29.165,29.31,29.271
2025/07/11 08:00:10,29.18,29.16,29.28,29.266
2025/07/11 13:00:09,29.125,29.13,29.275,29.236
2025/07/14 08:00:10,29.17,29.15,29.27,29.256
2025/07/14 13:00:08,29.22,29.22,29.37,29.326
2025/07/15 08:00:10,29.28,29.26,29.38,29.366
2025/07/15 13:00:08,29.21,29.205,29.36,29.311
2025/07/16 08:00:11,29.315,29.295,29.415,29.401
2025/07/16 13:00:08,29.34,29.345,29.49,29.451
2025/07/17 08:00:09,29.375,29.355,29.475,29.461
2025/07/17 13:00:07,29.335,29.34,29.485,29.446
2025/07/18 08:00:11,29.355,29.335,29.455,29.441
2025/07/18 13:00:10,29.325,29.33,29.475,29.436
2025/07/21 08:00:11,29.365,29.344,29.465,29.45
2025/07/21 13:00:09,29.34,29.344,29.49,29.45
2025/07/22 08:00:10,29.34,29.32,29.44,29.425
2025/07/22 13:00:08,29.365,29.37,29.515,29.475
2025/07/23 08:00:10,29.28,29.26,29.38,29.365
2025/07/23 13:00:10,29.28,29.285,29.43,29.39
2025/07/24 08:00:09,29.255,29.234,29.355,29.341
2025/07/24 13:00:09,29.32,29.324,29.47,29.431
2025/07/25 08:00:09,29.375,29.355,29.475,29.46
2025/07/25 13:00:12,29.355,29.36,29.505,29.465
2025/07/28 08:00:09,29.44,29.42,29.54,29.525
2025/07/28 13:00:10,29.445,29.45,29.595,29.555
2025/07/29 08:00:11,29.605,29.585,29.705,29.69
2025/07/29 13:00:09,29.625,29.635,29.775,29.74
2025/07/30 08:00:22,29.665,29.646,29.765,29.75
2025/07/30 13:00:19,29.63,29.636,29.78,29.74
2025/07/31 08:00:21,29.89,29.87,29.99,29.975
2025/07/31 13:00:20,29.785,29.8,29.935,29.905
2025/08/01 08:00:19,29.945,29.925,30.045,30.029
2025/08/01 13:00:19,29.94,29.945,30.09,30.049
2025/08/04 08:00:20,29.84,29.82,29.94,29.925
2025/08/04 12:00:17,29.82,29.83,29.97,29.935
2025/08/04 16:00:18,29.82,29.83,29.97,29.935
2025/08/04 20:00:19,29.82,29.83,29.97,29.935
2025/08/05 00:00:17,29.82,29.83,29.97,29.935
2025/08/05 04:00:21,29.87,29.85,29.97,29.955
2025/08/05 08:00:18,29.87,29.85,29.97,29.954
2025/08/05 12:00:19,29.845,29.85,29.995,29.954
2025/08/05 16:00:18,29.845,29.85,29.995,29.954
2025/08/05 20:00:19,29.845,29.85,29.995,29.954
2025/08/06 00:00:17,29.845,29.85,29.995,29.954
2025/08/06 04:00:07,29.89,29.87,29.99,29.974
2025/08/06 08:00:08,29.905,29.885,30.005,29.989
2025/08/06 08:00:09,29.905,29.885,30.005,29.989
2025/08/06 12:00:07,29.905,29.91,30.055,30.014
2025/08/06 16:00:09,29.905,29.91,30.055,30.014
2025/08/06 20:00:06,29.905,29.91,30.055,30.014
2025/08/07 00:00:06,29.905,29.91,30.055,30.014
2025/08/07 04:00:06,29.825,29.805,29.925,29.909
2025/08/07 08:00:05,29.78,29.76,29.88,29.864
2025/08/07 12:00:05,29.715,29.72,29.865,29.824
2025/08/07 16:00:07,29.715,29.72,29.865,29.824
2025/08/07 20:00:06,29.715,29.72,29.865,29.824
2025/08/08 00:00:07,29.715,29.72,29.865,29.824
2025/08/08 04:00:11,29.795,29.775,29.895,29.879
2025/08/08 08:00:10,29.79,29.77,29.89,29.874
2025/08/08 12:00:08,29.765,29.77,29.915,29.874
2025/08/08 16:00:11,29.765,29.77,29.915,29.874
2025/08/08 20:00:12,29.765,29.77,29.915,29.874
2025/08/11 00:00:08,29.765,29.77,29.915,29.874
2025/08/11 04:00:10,29.835,29.815,29.935,29.919
2025/08/11 08:00:11,29.82,29.801,29.92,29.904
2025/08/11 12:00:08,29.84,29.846,29.99,29.949
2025/08/11 16:00:06,29.84,29.846,29.99,29.949
2025/08/11 20:00:06,29.84,29.846,29.99,29.949
2025/08/12 00:00:06,29.84,29.846,29.99,29.949
2025/08/12 04:00:06,29.87,29.851,29.97,29.954
2025/08/12 08:00:10,29.9,29.881,30.0,29.985
2025/08/12 12:00:08,29.94,29.946,30.09,30.05
2025/08/12 16:00:06,29.94,29.946,30.09,30.05
2025/08/12 20:00:06,29.94,29.946,30.09,30.05
2025/08/13 00:00:05,29.94,29.946,30.09,30.05
2025/08/13 04:00:09,29.915,29.896,30.015,30.0
2025/08/13 08:00:11,29.94,29.921,30.04,30.025
2025/08/13 12:00:08,29.87,29.876,30.02,29.98
2025/08/13 16:00:10,29.87,29.876,30.02,29.98
