Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate.1,Cash.1,Spot.1,Forward-10Days.1,Forward-30Days.1,Forward-60Days.1,Forward-90Days.1,Forward-120Days.1,Forward-150Days.1,Forward-180Days.1
Buying,29.885,30.235,30.216,30.16,30.087,30.02,29.954,29.874,29.833,Selling,30.555,30.335,30.32,30.272,30.207,30.15,30.09,30.018,29.983
Buying,3.738,3.864,3.862,3.857,3.851,3.845,3.84,3.834,3.828,Selling,3.942,3.924,3.923,3.92,3.914,3.91,3.905,3.901,3.896
Buying,39.87,40.88,40.843,40.77,40.671,40.582,40.487,40.392,40.298,Selling,41.99,41.28,41.257,41.212,41.115,41.031,40.951,40.871,40.791
Buying,19.77,20.06,20.044,20.013,19.972,19.938,19.902,19.866,19.828,Selling,20.55,20.26,20.25,20.23,20.19,20.158,20.129,20.1,20.068
Buying,21.38,21.78,21.769,21.746,21.721,21.701,21.678,21.655,21.632,Selling,22.29,21.98,21.976,21.969,21.944,21.927,21.912,21.897,21.881
Buying,23.05,23.54,23.535,23.526,23.523,23.523,23.521,23.518,23.516,Selling,23.96,23.72,23.724,23.732,23.731,23.733,23.739,23.745,23.751
Buying,37.2,37.88,37.888,37.905,37.954,37.997,38.039,38.081,38.123,Selling,38.4,38.13,38.154,38.201,38.252,38.3,38.357,38.414,38.471
Buying,0.1959,0.2032,0.2032,0.2033,0.2034,0.2036,0.2037,0.2038,0.2039,Selling,0.2087,0.2072,0.2073,0.2075,0.2077,0.2079,0.2081,0.2084,0.2086
Buying,0.0,1.702,1.699,1.693,1.685,1.678,1.67,1.662,1.654,Selling,0.0,1.782,1.78,1.776,1.767,1.76,1.753,1.746,1.739
Buying,0.0,3.2,3.199,3.197,3.195,3.193,3.191,3.189,3.187,Selling,0.0,3.3,3.3,3.3,3.299,3.297,3.297,3.297,3.297
Buying,17.58,17.96,17.948,17.924,17.899,17.877,17.854,17.831,17.808,Selling,18.43,18.16,18.155,18.146,18.123,18.102,18.086,18.069,18.053
Buying,0.8247,0.9381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,1.0147,0.9781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.4629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.5949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,34.7,35.32,35.309,35.288,35.266,35.248,35.225,35.203,35.166,Selling,36.04,35.72,35.72,35.72,35.703,35.69,35.682,35.673,35.664
Buying,0.02005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.02395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,6.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,7.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,4.155,4.227,4.2262,4.2247,4.2239,4.2231,4.2213,4.2189,4.2177,Selling,4.317,4.277,4.2773,4.278,4.2778,4.2772,4.277,4.2768,4.2767
